the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.076       0.08        0.32           0.097       0.074       0.307     
2          12              48                1000      0.079       0.15        0.61           0.114       0.075       0.166     
4          24              96                1000      0.082       0.29        1.17           0.298       0.079       0.229     
8          48              192               1000      0.076       0.63        2.52           0.303       0.076       0.123     
16         96              384               1000      0.083       1.15        4.61           0.308       0.081       0.126     
32         192             768               1000      0.094       2.04        8.17           0.303       0.092       0.143     
64         384             1536              1000      0.114       3.37        13.50          0.130       0.113       0.160     
128        768             3072              1000      0.157       4.89        19.57          0.369       0.155       0.203     
256        1536            6144              1000      0.244       6.29        25.17          0.441       0.238       0.305     
512        3072            12288             1000      0.409       7.51        30.03          0.619       0.404       0.449     
1024       6144            24576             1000      0.753       8.16        32.65          6.792       0.733       0.784     
2048       12288           49152             1000      1.417       8.67        34.70          1.632       1.400       1.488     
4096       24576           98304             1000      2.754       8.92        35.70          2.964       2.697       2.765     
8192       49152           196608            1000      5.461       9.00        36.00          5.710       5.385       5.467     
16384      98304           393216            1000      10.866      9.05        36.19          16.551      10.591      10.847    
32768      196608          786432            1000      21.480      9.15        36.61          25.233      21.232      21.643    
65536      393216          1572864           1000      42.768      9.19        36.78          47.947      42.242      42.627    
131072     786432          3145728           1000      85.979      9.15        36.59          91.261      85.776      86.327    
262144     1572864         6291456           1000      171.807     9.15        36.62          195.983     171.441     172.662   
524288     3145728         12582912          1000      342.406     9.19        36.75          348.921     340.750     344.462   
1048576    6291456         25165824          1000      688.498     9.14        36.55          697.015     685.360     688.228   

