the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.071       0.01        0.06           0.110       0.071       0.199     
2          2               8                 1000      0.073       0.03        0.11           0.153       0.072       0.135     
4          4               16                1000      0.074       0.05        0.22           0.298       0.074       0.233     
8          8               32                1000      0.081       0.10        0.40           0.125       0.080       0.116     
16         16              64                1000      0.096       0.17        0.67           0.098       0.094       0.313     
32         32              128               1000      0.126       0.25        1.01           0.318       0.125       0.134     
64         64              256               1000      0.183       0.35        1.40           0.185       0.181       0.326     
128        128             512               1000      0.300       0.43        1.70           0.494       0.299       0.301     
256        256             1024              1000      0.536       0.48        1.91           0.732       0.531       0.564     
512        512             2048              1000      0.999       0.51        2.05           1.213       0.996       1.035     
1024       1024            4096              1000      1.930       0.53        2.12           2.128       1.927       1.931     
2048       2048            8192              1000      3.792       0.54        2.16           3.986       3.790       3.792     
4096       4096            16384             1000      7.520       0.54        2.18           12.373      7.513       7.520     
8192       8192            32768             1000      14.977      0.55        2.19           19.768      14.962      14.965    
16384      16384           65536             1000      29.870      0.55        2.19           35.037      29.858      30.288    
32768      32768           131072            1000      59.680      0.55        2.20           64.655      59.648      59.760    
65536      65536           262144            1000      119.269     0.55        2.20           125.699     119.227     119.535   
131072     131072          524288            1000      238.501     0.55        2.20           243.600     238.385     238.675   
262144     262144          1048576           1000      476.905     0.55        2.20           481.782     476.696     476.779   
524288     524288          2097152           1000      953.693     0.55        2.20           958.858     953.320     953.451   
1048576    1048576         4194304           1000      1907.509    0.55        2.20           1913.751    1906.601    1907.021  

