the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.073       0.01        0.05           0.080       0.073       0.402     
2          2               8                 1000      0.074       0.03        0.11           0.298       0.074       0.108     
4          4               16                1000      0.074       0.05        0.22           0.075       0.073       0.075     
8          8               32                1000      0.075       0.11        0.43           0.296       0.074       0.172     
16         16              64                1000      0.077       0.21        0.84           0.310       0.075       0.094     
32         32              128               1000      0.076       0.42        1.68           0.082       0.076       0.085     
64         64              256               1000      0.084       0.76        3.05           0.089       0.083       0.127     
128        128             512               1000      0.099       1.30        5.19           0.115       0.098       0.307     
256        256             1024              1000      0.127       2.01        8.04           0.327       0.127       0.138     
512        512             2048              1000      0.186       2.75        11.01          0.381       0.185       0.190     
1024       1024            4096              1000      0.304       3.37        13.47          0.583       0.302       0.308     
2048       2048            8192              1000      0.536       3.82        15.29          0.583       0.534       0.553     
4096       4096            16384             1000      1.001       4.09        16.37          1.196       1.000       1.005     
8192       8192            32768             1000      1.937       4.23        16.92          2.222       1.933       1.933     
16384      16384           65536             1000      3.800       4.31        17.25          3.982       3.797       3.801     
32768      32768           131072            1000      7.534       4.35        17.40          12.689      7.520       8.068     
65536      65536           262144            1000      15.009      4.37        17.47          21.851      14.967      15.340    
131072     131072          524288            1000      29.901      4.38        17.53          34.276      29.864      30.657    
262144     262144          1048576           1000      59.716      4.39        17.56          64.518      59.658      62.445    
524288     524288          2097152           1000      119.337     4.39        17.57          125.872     119.240     127.330   
1048576    1048576         4194304           1000      239.205     4.38        17.53          252.898     238.438     268.898   

