the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.072       0.01        0.06           0.296       0.071       0.394     
2          2               8                 1000      0.073       0.03        0.11           0.301       0.072       0.108     
4          4               16                1000      0.075       0.05        0.21           0.109       0.074       0.109     
8          8               32                1000      0.082       0.10        0.39           0.326       0.081       0.112     
16         16              64                1000      0.096       0.17        0.67           0.305       0.095       0.131     
32         32              128               1000      0.123       0.26        1.04           0.315       0.122       0.330     
64         64              256               1000      0.183       0.35        1.40           0.188       0.181       0.225     
128        128             512               1000      0.299       0.43        1.71           0.306       0.298       0.335     
256        256             1024              1000      0.536       0.48        1.91           0.719       0.531       0.537     
512        512             2048              1000      0.999       0.51        2.05           1.206       0.996       1.009     
1024       1024            4096              1000      1.961       0.52        2.09           20.184      1.928       1.933     
2048       2048            8192              1000      3.798       0.54        2.16           10.129      3.789       3.791     
4096       4096            16384             1000      7.520       0.54        2.18           12.731      7.513       7.519     
8192       8192            32768             1000      14.976      0.55        2.19           20.769      14.963      14.968    
16384      16384           65536             1000      29.869      0.55        2.19           34.548      29.857      29.861    
32768      32768           131072            1000      59.680      0.55        2.20           64.657      59.648      59.646    
65536      65536           262144            1000      119.305     0.55        2.20           126.894     119.227     119.230   
131072     131072          524288            1000      238.515     0.55        2.20           243.706     238.383     238.529   
262144     262144          1048576           1000      476.892     0.55        2.20           482.346     476.693     476.728   
524288     524288          2097152           1000      953.704     0.55        2.20           960.486     953.319     953.739   
1048576    1048576         4194304           1000      1907.494    0.55        2.20           1914.799    1906.601    1907.192  

