the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.087       0.01        0.09           0.094       0.077       0.491     
2          2               16                1000      0.088       0.02        0.18           0.095       0.078       0.153     
4          4               32                1000      0.090       0.04        0.36           0.300       0.078       0.183     
8          8               64                1000      0.092       0.09        0.69           0.300       0.081       0.244     
16         16              128               1000      0.094       0.17        1.36           0.312       0.085       0.209     
32         32              256               1000      0.101       0.32        2.52           0.112       0.094       0.192     
64         64              512               1000      0.122       0.53        4.21           0.352       0.114       0.214     
128        128             1024              1000      0.165       0.78        6.22           0.381       0.152       0.269     
256        256             2048              1000      0.252       1.01        8.12           0.461       0.239       0.317     
512        512             4096              1000      0.434       1.18        9.44           0.640       0.403       0.538     
1024       1024            8192              1000      0.804       1.27        10.18          1.019       0.770       0.956     
2048       2048            16384             1000      1.556       1.32        10.53          5.965       1.499       1.681     
4096       4096            32768             1000      3.069       1.33        10.68          3.329       2.988       3.143     
8192       8192            65536             1000      6.036       1.36        10.86          6.327       5.894       6.293     
16384      16384           131072            1000      11.963      1.37        10.96          16.074      11.751      12.230    
32768      32768           262144            1000      23.829      1.38        11.00          28.674      23.462      24.380    
65536      65536           524288            1000      47.788      1.37        10.97          50.951      47.019      49.778    
131072     131072          1048576           1000      95.545      1.37        10.97          100.548     93.984      98.283    
262144     262144          2097152           1000      215.400     1.22        9.74           228.634     191.323     239.906   
524288     524288          4194304           1000      515.383     1.02        8.14           528.781     482.534     541.635   
1048576    1048576         8388608           1000      1150.155    0.91        7.29           1165.646    1106.262    1160.080  

