the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.071       0.03        0.11           0.300       0.071       0.107     
2          4               16                1000      0.072       0.06        0.22           0.108       0.072       0.100     
4          8               32                1000      0.073       0.11        0.44           0.295       0.072       0.235     
8          16              64                1000      0.074       0.22        0.87           0.313       0.073       0.158     
16         32              128               1000      0.076       0.42        1.68           0.298       0.075       0.248     
32         64              256               1000      0.078       0.82        3.27           0.299       0.077       0.110     
64         128             512               1000      0.088       1.45        5.80           0.309       0.087       0.402     
128        256             1024              1000      0.111       2.32        9.26           0.139       0.108       0.217     
256        512             2048              1000      0.153       3.36        13.42          0.163       0.150       0.231     
512        1024            4096              1000      0.235       4.36        17.45          0.440       0.232       0.315     
1024       2048            8192              1000      0.404       5.07        20.28          0.603       0.399       0.499     
2048       4096            16384             1000      0.739       5.54        22.17          0.953       0.732       0.743     
4096       8192            32768             1000      1.416       5.79        23.14          1.612       1.405       1.610     
8192       16384           65536             1000      2.757       5.94        23.77          2.970       2.747       2.831     
16384      32768           131072            1000      5.447       6.02        24.06          5.675       5.438       5.636     
32768      65536           262144            1000      10.830      6.05        24.21          11.076      10.800      10.938    
65536      131072          524288            1000      21.645      6.06        24.22          27.840      21.532      21.595    
131072     262144          1048576           1000      43.106      6.08        24.33          48.455      42.990      43.131    
262144     524288          2097152           1000      86.179      6.08        24.33          106.330     85.908      85.986    
524288     1048576         4194304           1000      172.305     6.09        24.34          203.678     171.752     172.193   
1048576    2097152         8388608           1000      344.555     6.09        24.35          369.589     343.435     344.496   

