the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.073       0.01        0.11           0.075       0.071       0.135     
2          2               16                1000      0.073       0.03        0.22           0.294       0.072       0.151     
4          4               32                1000      0.075       0.05        0.43           0.299       0.073       0.395     
8          8               64                1000      0.078       0.10        0.82           0.300       0.077       0.187     
16         16              128               1000      0.084       0.19        1.53           0.115       0.082       0.506     
32         32              256               1000      0.093       0.35        2.76           0.126       0.091       0.187     
64         64              512               1000      0.112       0.57        4.58           0.328       0.110       0.173     
128        128             1024              1000      0.150       0.86        6.85           0.370       0.148       0.335     
256        256             2048              1000      0.224       1.14        9.14           0.430       0.223       0.554     
512        512             4096              1000      0.375       1.36        10.92          0.576       0.373       0.470     
1024       1024            8192              1000      0.675       1.52        12.14          0.896       0.674       0.768     
2048       2048            16384             1000      1.293       1.58        12.67          5.246       1.275       1.341     
4096       4096            32768             1000      2.509       1.63        13.06          8.584       2.493       2.954     
8192       8192            65536             1000      4.922       1.66        13.31          5.135       4.900       5.139     
16384      16384           131072            1000      9.762       1.68        13.43          16.796      9.712       10.131    
32768      32768           262144            1000      19.466      1.68        13.47          19.849      19.386      21.292    
65536      65536           524288            1000      38.736      1.69        13.53          43.167      38.622      42.842    
131072     131072          1048576           1000      77.201      1.70        13.58          82.235      77.095      112.242   
262144     262144          2097152           1000      205.184     1.28        10.22          214.310     174.820     237.938   
524288     524288          4194304           1000      500.700     1.05        8.38           514.757     472.593     534.078   
1048576    1048576         8388608           1000      1071.438    0.98        7.83           1094.619    1063.627    1076.005  

