the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.101       0.01        0.12           0.132       0.085       0.366     
2          2               24                1000      0.101       0.02        0.24           0.136       0.085       0.222     
4          4               48                1000      0.102       0.04        0.47           0.244       0.087       0.168     
8          8               96                1000      0.100       0.08        0.96           0.146       0.084       0.212     
16         16              192               1000      0.101       0.16        1.91           0.131       0.087       0.191     
32         32              384               1000      0.106       0.30        3.63           0.139       0.092       0.221     
64         64              768               1000      0.112       0.57        6.83           0.174       0.101       0.168     
128        128             1536              1000      0.133       0.97        11.59          0.172       0.127       0.232     
256        256             3072              1000      0.178       1.44        17.22          0.438       0.167       0.304     
512        512             6144              1000      0.273       1.87        22.49          0.532       0.254       0.436     
1024       1024            12288             1000      0.440       2.33        27.92          0.482       0.430       0.569     
2048       2048            24576             1000      0.860       2.38        28.56          0.954       0.839       1.407     
4096       4096            49152             1000      1.735       2.36        28.33          6.293       1.699       2.345     
8192       8192            98304             1000      3.371       2.43        29.16          7.519       3.297       4.376     
16384      16384           196608            1000      125.464     0.13        1.57           20716.331   15.573      13857.923 
32768      32768           393216            1000      26.805      1.22        14.67          119.833     25.111      31.697    
65536      65536           786432            1000      49.783      1.32        15.80          134.594     48.681      52.601    
131072     131072          1572864           1000      89.472      1.46        17.58          1664.437    86.590      92.830    
262144     262144          3145728           1000      164.396     1.59        19.14          1690.364    160.545     175.322   
524288     524288          6291456           1000      313.569     1.67        20.06          1956.009    303.492     302.573   
1048576    1048576         12582912          1000      671.675     1.56        18.73          1037.080    662.957     821.185   

