the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.071       0.08        0.34           0.081       0.071       0.120     
2          12              48                1000      0.096       0.13        0.50           0.326       0.083       0.342     
4          24              96                1000      0.096       0.25        1.00           0.129       0.093       0.187     
8          48              192               1000      0.100       0.48        1.91           0.303       0.088       0.225     
16         96              384               1000      0.098       0.98        3.91           0.241       0.088       0.212     
32         192             768               1000      0.100       1.92        7.67           0.304       0.090       0.187     
64         384             1536              1000      0.106       3.64        14.55          0.169       0.095       0.192     
128        768             3072              1000      0.119       6.46        25.85          0.337       0.116       0.234     
256        1536            6144              1000      0.173       8.87        35.49          6.565       0.163       0.285     
512        3072            12288             1000      0.250       12.29       49.15          0.279       0.247       0.353     
1024       6144            24576             1000      0.427       14.40       57.62          0.449       0.423       0.477     
2048       12288           49152             1000      0.773       15.89       63.57          0.985       0.770       0.831     
4096       24576           98304             1000      1.474       16.67       66.69          1.506       1.469       1.570     
8192       49152           196608            1000      2.916       16.86       67.42          3.083       2.879       2.951     
16384      98304           393216            1000      5.872       16.74       66.97          6.133       5.762       5.979     
32768      196608          786432            1000      11.976      16.42       65.67          12.301      11.901      12.704    
65536      393216          1572864           1000      24.036      16.36       65.44          31.092      23.820      24.596    
131072     786432          3145728           1000      47.469      16.57       66.27          53.511      47.381      49.690    
262144     1572864         6291456           1000      94.782      16.59       66.38          100.184     94.625      100.631   
524288     3145728         12582912          1000      189.741     16.58       66.32          199.544     189.462     213.134   
1048576    6291456         25165824          1000      382.360     16.45       65.82          429.064     379.555     478.400   

