the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               16                1000      0.073       0.03        0.22           0.120       0.071       0.355     
2          4               32                1000      0.076       0.05        0.42           0.093       0.073       0.145     
4          8               64                1000      0.077       0.10        0.83           0.094       0.075       0.179     
8          16              128               1000      0.082       0.20        1.57           0.096       0.080       0.134     
16         32              256               1000      0.090       0.35        2.83           0.122       0.087       0.294     
32         64              512               1000      0.105       0.61        4.87           0.151       0.102       0.218     
64         128             1024              1000      0.136       0.94        7.51           0.377       0.133       0.234     
128        256             2048              1000      0.198       1.29        10.35          0.250       0.193       0.294     
256        512             4096              1000      0.321       1.59        12.76          0.377       0.317       0.528     
512        1024            8192              1000      0.569       1.80        14.40          0.612       0.561       0.759     
1024       2048            16384             1000      1.068       1.92        15.34          1.914       1.056       1.147     
2048       4096            32768             1000      2.058       1.99        15.92          2.137       2.040       2.177     
4096       8192            65536             1000      4.144       1.98        15.81          13.475      4.044       4.499     
8192       16384           131072            1000      8.108       2.02        16.16          16.190      8.017       8.287     
16384      32768           262144            1000      16.200      2.02        16.18          208.342     15.329      16.292    
32768      65536           524288            1000      32.110      2.04        16.33          134.207     31.508      32.450    
65536      131072          1048576           1000      63.488      2.06        16.52          128.202     63.289      66.281    
131072     262144          2097152           1000      132.220     1.98        15.86          192.404     131.752     132.359   
262144     524288          4194304           1000      256.264     2.05        16.37          322.999     254.711     257.080   
524288     1048576         8388608           1000      509.885     2.06        16.45          539.334     508.080     510.709   
1048576    2097152         16777216          1000      1016.890    2.06        16.50          1062.311    1012.772    1045.456  

