the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.078       0.09        0.21           0.124       0.077       0.736     
2          14              32                1000      0.080       0.17        0.40           0.118       0.078       0.495     
4          28              64                1000      0.080       0.35        0.80           0.128       0.080       0.385     
8          56              128               1000      0.087       0.65        1.48           0.242       0.086       0.463     
16         112             256               1000      0.102       1.10        2.51           0.153       0.100       0.267     
32         224             512               1000      0.131       1.71        3.92           0.353       0.129       0.328     
64         448             1024              1000      0.189       2.37        5.42           0.420       0.187       0.381     
128        896             2048              1000      0.306       2.93        6.69           0.372       0.303       0.659     
256        1792            4096              1000      0.540       3.32        7.58           0.678       0.536       0.904     
512        3584            8192              1000      1.006       3.56        8.14           1.075       1.002       1.431     
1024       7168            16384             1000      1.940       3.69        8.44           2.463       1.936       2.260     
2048       14336           32768             1000      3.818       3.76        8.58           4.351       3.805       4.146     
4096       28672           65536             1000      7.580       3.78        8.65           7.842       7.530       8.079     
8192       57344           131072            1000      15.020      3.82        8.73           15.221      14.989      15.482    
16384      114688          262144            1000      30.699      3.74        8.54           791.973     29.886      30.438    
32768      229376          524288            1000      60.035      3.82        8.73           331.576     59.691      60.502    
65536      458752          1048576           1000      119.680     3.83        8.76           306.471     119.315     121.148   
131072     917504          2097152           1000      239.542     3.83        8.75           491.288     238.493     241.181   
262144     1835008         4194304           1000      481.892     3.81        8.70           644.951     478.535     481.787   
524288     3670016         8388608           1000      969.541     3.79        8.65           1068.484    965.606     1018.458  
1048576    7340032         16777216          1000      1958.643    3.75        8.57           2007.502    1953.086    1969.309  

