the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.077       0.01        0.21           0.310       0.075       0.265     
2          2               32                1000      0.080       0.03        0.40           0.126       0.076       0.313     
4          4               64                1000      0.077       0.05        0.83           0.136       0.075       0.207     
8          8               128               1000      0.079       0.10        1.62           0.114       0.077       0.106     
16         16              256               1000      0.080       0.20        3.18           0.130       0.079       0.150     
32         32              512               1000      0.088       0.36        5.80           4.545       0.082       0.194     
64         64              1024              1000      0.092       0.70        11.18          0.148       0.090       0.237     
128        128             2048              1000      0.111       1.16        18.50          0.175       0.104       0.200     
256        256             4096              1000      0.137       1.87        29.91          0.212       0.133       0.335     
512        512             8192              1000      0.212       2.41        38.61          0.373       0.198       0.293     
1024       1024            16384             1000      0.333       3.08        49.23          0.637       0.313       0.445     
2048       2048            32768             1000      0.642       3.19        51.07          0.729       0.598       0.711     
4096       4096            65536             1000      1.180       3.47        55.53          1.321       1.042       1.529     
8192       8192            131072            1000      2.195       3.73        59.71          6.650       2.042       3.474     
16384      16384           262144            1000      5.449       3.01        48.11          5.896       4.976       5.883     
32768      32768           524288            1000      11.422      2.87        45.90          14.845      10.837      13.090    
65536      65536           1048576           1000      23.038      2.84        45.52          28.583      21.679      31.446    
131072     131072          2097152           1000      44.721      2.93        46.89          61.592      42.328      62.440    
262144     262144          4194304           1000      147.035     1.78        28.53          162.209     138.692     171.195   
524288     524288          8388608           1000      298.595     1.76        28.09          319.447     296.201     345.436   
1048576    1048576         16777216          1000      657.693     1.59        25.51          685.592     647.872     652.051   

