the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.074       0.08        0.32           0.090       0.073       0.413     
2          12              48                1000      0.073       0.16        0.65           0.124       0.073       0.230     
4          24              96                1000      0.075       0.32        1.28           0.129       0.074       0.227     
8          48              192               1000      0.079       0.61        2.43           0.156       0.078       0.187     
16         96              384               1000      0.086       1.12        4.46           0.312       0.085       0.238     
32         192             768               1000      0.099       1.94        7.76           0.121       0.097       0.232     
64         384             1536              1000      0.128       3.01        12.03          0.270       0.124       0.182     
128        768             3072              1000      0.183       4.20        16.81          0.218       0.177       0.423     
256        1536            6144              1000      0.288       5.33        21.30          0.661       0.283       0.339     
512        3072            12288             1000      0.501       6.13        24.52          0.547       0.494       0.607     
1024       6144            24576             1000      0.932       6.59        26.37          1.046       0.921       0.980     
2048       12288           49152             1000      1.790       6.86        27.46          2.015       1.774       1.923     
4096       24576           98304             1000      3.509       7.00        28.01          3.735       3.481       3.777     
8192       49152           196608            1000      6.994       7.03        28.11          12.112      6.923       7.250     
16384      98304           393216            1000      13.917      7.06        28.26          70.961      13.775      14.159    
32768      196608          786432            1000      28.038      7.01        28.05          31.872      27.494      28.783    
65536      393216          1572864           1000      55.770      7.05        28.20          70.463      54.858      58.804    
131072     786432          3145728           1000      110.737     7.10        28.41          153.777     109.808     116.893   
262144     1572864         6291456           1000      231.282     6.80        27.20          242.040     228.787     230.913   
524288     3145728         12582912          1000      457.112     6.88        27.53          472.821     454.669     485.680   
1048576    6291456         25165824          1000      937.086     6.71        26.86          1045.124    931.416     957.148   

