the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.074       0.08        0.33           0.108       0.073       0.373     
2          12              48                1000      0.076       0.16        0.63           0.122       0.075       0.135     
4          24              96                1000      0.079       0.30        1.21           0.129       0.078       0.086     
8          48              192               1000      0.081       0.59        2.38           0.088       0.080       0.227     
16         96              384               1000      0.091       1.05        4.21           0.132       0.089       0.359     
32         192             768               1000      0.108       1.78        7.11           0.155       0.105       0.140     
64         384             1536              1000      0.146       2.63        10.52          0.189       0.140       0.191     
128        768             3072              1000      0.209       3.68        14.73          0.251       0.203       0.239     
256        1536            6144              1000      0.345       4.45        17.80          0.387       0.336       0.400     
512        3072            12288             1000      0.613       5.01        20.06          0.650       0.600       0.680     
1024       6144            24576             1000      1.141       5.39        21.55          1.184       1.129       1.169     
2048       12288           49152             1000      2.216       5.55        22.18          2.271       2.194       2.278     
4096       24576           98304             1000      4.344       5.66        22.63          4.409       4.314       4.906     
8192       49152           196608            1000      8.636       5.69        22.77          8.702       8.585       9.253     
16384      98304           393216            1000      17.231      5.71        22.82          20.702      17.161      17.794    
32768      196608          786432            1000      34.318      5.73        22.92          41.497      34.200      36.744    
65536      393216          1572864           1000      68.467      5.74        22.97          71.917      68.348      75.632    
131072     786432          3145728           1000      146.278     5.38        21.51          154.088     145.552     159.450   
262144     1572864         6291456           1000      433.666     3.63        14.51          446.678     396.726     444.126   
524288     3145728         12582912          1000      763.047     4.12        16.49          787.088     754.166     772.524   
1048576    6291456         25165824          1000      1457.634    4.32        17.26          1471.968    1447.850    1471.088  

