the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.104       0.01        0.08           0.156       0.104       0.346     
2          2               16                1000      0.101       0.02        0.16           0.131       0.101       0.304     
4          4               32                1000      0.102       0.04        0.31           0.135       0.101       0.312     
8          8               64                1000      0.102       0.08        0.63           0.114       0.101       0.382     
16         16              128               1000      0.105       0.15        1.22           0.303       0.103       0.406     
32         32              256               1000      0.099       0.32        2.60           0.310       0.090       0.381     
64         64              512               1000      0.115       0.56        4.47           0.212       0.113       0.317     
128        128             1024              1000      0.132       0.97        7.73           0.232       0.130       0.521     
256        256             2048              1000      0.168       1.52        12.19          0.414       0.147       0.435     
512        512             4096              1000      0.250       2.05        16.41          0.505       0.242       0.554     
1024       1024            8192              1000      0.394       2.60        20.79          0.782       0.382       0.664     
2048       2048            16384             1000      0.725       2.83        22.61          1.028       0.708       1.296     
4096       4096            32768             1000      1.434       2.86        22.85          2.146       1.416       2.551     
8192       8192            65536             1000      2.651       3.09        24.73          8.574       2.614       3.725     
16384      16384           131072            1000      5.113       3.20        25.64          11.868      5.022       7.034     
32768      32768           262144            1000      11.629      2.82        22.54          21.485      11.251      13.849    
65536      65536           524288            1000      23.213      2.82        22.59          28.473      22.204      27.919    
131072     131072          1048576           1000      44.639      2.94        23.49          52.009      43.504      59.644    
262144     262144          2097152           1000      88.384      2.97        23.73          106.838     86.319      118.164   
524288     524288          4194304           1000      226.897     2.31        18.49          279.441     204.875     253.823   
1048576    1048576         8388608           1000      530.892     1.98        15.80          549.753     512.667     548.918   

