the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.071       0.01        0.06           0.087       0.070       0.140     
2          2               8                 1000      0.072       0.03        0.11           0.124       0.071       0.120     
4          4               16                1000      0.074       0.05        0.22           0.081       0.073       0.130     
8          8               32                1000      0.074       0.11        0.43           0.110       0.071       0.140     
16         16              64                1000      0.075       0.21        0.86           0.084       0.073       0.316     
32         32              128               1000      0.077       0.41        1.66           0.087       0.075       0.233     
64         64              256               1000      0.078       0.82        3.29           0.114       0.077       0.154     
128        128             512               1000      0.089       1.44        5.78           0.313       0.083       0.157     
256        256             1024              1000      0.100       2.56        10.24          0.140       0.096       0.238     
512        512             2048              1000      0.130       3.93        15.70          0.177       0.125       0.308     
1024       1024            4096              1000      0.185       5.54        22.16          0.224       0.183       0.482     
2048       2048            8192              1000      0.304       6.74        26.95          0.359       0.302       0.405     
4096       4096            16384             1000      0.544       7.53        30.13          0.597       0.534       1.082     
8192       8192            32768             1000      1.182       6.93        27.73          1.283       1.084       2.044     
16384      16384           65536             1000      2.415       6.78        27.14          2.457       2.374       3.684     
32768      32768           131072            1000      4.744       6.91        27.63          6.275       4.663       7.875     
65536      65536           262144            1000      10.483      6.25        25.01          15.052      9.350       15.611    
131072     131072          524288            1000      23.865      5.49        21.97          26.945      18.560      31.140    
262144     262144          1048576           1000      49.997      5.24        20.97          59.822      36.831      63.081    
524288     524288          2097152           1000      105.245     4.98        19.93          140.682     72.898      120.380   
1048576    1048576         4194304           1000      317.507     3.30        13.21          344.217     246.615     309.572   

