the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.073       0.01        0.16           0.094       0.071       0.213     
2          2               24                1000      0.074       0.03        0.32           0.095       0.072       0.393     
4          4               48                1000      0.076       0.05        0.63           0.110       0.074       0.321     
8          8               96                1000      0.077       0.10        1.25           0.216       0.075       0.372     
16         16              192               1000      0.079       0.20        2.43           0.164       0.078       0.247     
32         32              384               1000      0.084       0.38        4.60           0.207       0.082       0.244     
64         64              768               1000      0.095       0.67        8.08           0.154       0.091       0.463     
128        128             1536              1000      0.120       1.06        12.77          0.280       0.109       0.265     
256        256             3072              1000      0.151       1.69        20.29          0.384       0.145       0.419     
512        512             6144              1000      0.230       2.22        26.67          0.643       0.218       0.768     
1024       1024            12288             1000      0.376       2.72        32.67          0.513       0.366       0.585     
2048       2048            24576             1000      0.734       2.79        33.48          1.210       0.692       1.185     
4096       4096            49152             1000      1.561       2.62        31.49          2.081       1.521       2.224     
8192       8192            98304             1000      2.986       2.74        32.92          3.784       2.895       4.453     
16384      16384           196608            1000      6.427       2.55        30.59          13.394      6.210       8.908     
32768      32768           393216            1000      12.112      2.71        32.46          13.296      11.657      14.951    
65536      65536           786432            1000      24.933      2.63        31.54          95.000      23.468      31.685    
131072     131072          1572864           1000      50.247      2.61        31.30          91.377      47.282      63.960    
262144     262144          3145728           1000      110.403     2.37        28.49          180.900     107.098     144.115   
524288     524288          6291456           1000      328.641     1.60        19.14          370.078     308.015     348.102   
1048576    1048576         12582912          1000      711.045     1.47        17.70          770.764     696.844     708.174   

