the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.073       0.01        0.05           0.110       0.071       0.127     
2          2               8                 1000      0.072       0.03        0.11           0.307       0.072       0.129     
4          4               16                1000      0.073       0.05        0.22           0.109       0.072       0.281     
8          8               32                1000      0.078       0.10        0.41           0.115       0.075       0.148     
16         16              64                1000      0.079       0.20        0.81           0.083       0.075       0.142     
32         32              128               1000      0.086       0.37        1.50           0.122       0.079       0.249     
64         64              256               1000      0.086       0.75        2.99           0.117       0.079       0.132     
128        128             512               1000      0.090       1.42        5.68           0.129       0.085       0.137     
256        256             1024              1000      0.097       2.63        10.51          0.122       0.097       0.284     
512        512             2048              1000      0.117       4.37        17.49          0.140       0.115       0.324     
1024       1024            4096              1000      0.160       6.39        25.55          0.230       0.156       0.270     
2048       2048            8192              1000      0.244       8.41        33.64          0.255       0.239       0.333     
4096       4096            16384             1000      0.412       9.93        39.73          0.655       0.404       0.574     
8192       8192            32768             1000      0.776       10.55       42.20          0.845       0.763       1.097     
16384      16384           65536             1000      1.538       10.66       42.62          1.833       1.501       2.384     
32768      32768           131072            1000      3.111       10.53       42.14          4.674       2.975       5.110     
65536      65536           262144            1000      6.962       9.41        37.65          15.440      6.766       9.462     
131072     131072          524288            1000      15.152      8.65        34.60          23.038      14.911      19.778    
262144     262144          1048576           1000      31.129      8.42        33.68          302.531     30.298      42.851    
524288     524288          2097152           1000      61.911      8.47        33.87          74.927      60.877      92.569    
1048576    1048576         4194304           1000      218.471     4.80        19.20          244.790     216.863     256.075   

