the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.072       0.01        0.11           0.146       0.071       0.201     
2          2               16                1000      0.081       0.02        0.20           0.109       0.078       0.238     
4          4               32                1000      0.082       0.05        0.39           0.095       0.078       0.113     
8          8               64                1000      0.080       0.10        0.80           0.102       0.078       0.305     
16         16              128               1000      0.084       0.19        1.52           0.128       0.079       0.162     
32         32              256               1000      0.084       0.38        3.06           0.093       0.081       0.178     
64         64              512               1000      0.087       0.73        5.86           0.102       0.086       0.355     
128        128             1024              1000      0.097       1.32        10.57          0.136       0.093       0.203     
256        256             2048              1000      0.116       2.21        17.67          0.173       0.109       0.221     
512        512             4096              1000      0.145       3.52        28.20          0.212       0.141       0.312     
1024       1024            8192              1000      0.236       4.34        34.76          0.311       0.216       0.302     
2048       2048            16384             1000      0.365       5.61        44.91          0.438       0.346       0.462     
4096       4096            32768             1000      0.821       4.99        39.91          0.898       0.789       1.141     
8192       8192            65536             1000      1.791       4.57        36.59          1.855       1.759       2.402     
16384      16384           131072            1000      3.551       4.61        36.92          18.823      3.460       5.312     
32768      32768           262144            1000      7.855       4.17        33.37          21.380      7.399       10.376    
65536      65536           524288            1000      17.624      3.72        29.75          70.448      16.403      22.689    
131072     131072          1048576           1000      39.032      3.36        26.86          65.570      35.284      42.387    
262144     262144          2097152           1000      80.389      3.26        26.09          103.910     72.102      93.190    
524288     524288          4194304           1000      200.435     2.62        20.93          261.958     166.637     229.087   
1048576    1048576         8388608           1000      488.699     2.15        17.17          514.898     459.705     508.788   

