the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.102       0.01        0.12           0.116       0.090       0.131     
2          2               24                1000      0.101       0.02        0.24           0.160       0.090       0.488     
4          4               48                1000      0.102       0.04        0.47           0.129       0.088       0.551     
8          8               96                1000      0.100       0.08        0.96           0.123       0.089       0.295     
16         16              192               1000      0.102       0.16        1.89           0.133       0.086       0.473     
32         32              384               1000      0.106       0.30        3.62           0.135       0.094       0.422     
64         64              768               1000      0.114       0.56        6.75           0.288       0.101       0.319     
128        128             1536              1000      0.133       0.97        11.59          0.257       0.125       0.413     
256        256             3072              1000      0.179       1.43        17.12          0.372       0.168       0.491     
512        512             6144              1000      0.280       1.83        21.92          0.398       0.256       0.568     
1024       1024            12288             1000      0.444       2.31        27.69          1.008       0.431       0.721     
2048       2048            24576             1000      0.879       2.33        27.95          9.254       0.853       1.365     
4096       4096            49152             1000      1.729       2.37        28.43          2.528       1.696       2.446     
8192       8192            98304             1000      3.384       2.42        29.05          8.491       3.295       4.945     
16384      16384           196608            1000      175.755     0.09        1.12           29922.592   15.295      22379.683 
32768      32768           393216            1000      25.502      1.28        15.42          110.501     24.387      32.988    
65536      65536           786432            1000      49.795      1.32        15.79          173.412     48.614      62.916    
131072     131072          1572864           1000      88.364      1.48        17.80          108.196     87.074      102.173   
262144     262144          3145728           1000      166.727     1.57        18.87          1108.218    162.302     205.383   
524288     524288          6291456           1000      327.266     1.60        19.22          783.424     322.193     405.216   
1048576    1048576         12582912          1000      834.770     1.26        15.07          19689.510   666.829     795.780   

