the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.074       0.08        0.33           0.143       0.072       0.223     
2          12              48                1000      0.090       0.13        0.53           0.324       0.081       0.433     
4          24              96                1000      0.091       0.26        1.05           0.128       0.083       0.215     
8          48              192               1000      0.095       0.50        2.02           0.145       0.086       0.226     
16         96              384               1000      0.098       0.98        3.92           0.151       0.087       0.278     
32         192             768               1000      0.103       1.86        7.44           0.171       0.097       0.306     
64         384             1536              1000      0.108       3.54        14.17          0.139       0.098       0.191     
128        768             3072              1000      0.120       6.42        25.70          0.335       0.110       0.183     
256        1536            6144              1000      0.144       10.70       42.80          0.459       0.137       0.222     
512        3072            12288             1000      0.183       16.75       66.98          0.245       0.179       0.265     
1024       6144            24576             1000      0.285       21.58       86.33          0.391       0.278       0.416     
2048       12288           49152             1000      0.479       25.64       102.55         0.499       0.472       0.564     
4096       24576           98304             1000      0.883       27.84       111.36         1.124       0.873       1.102     
8192       49152           196608            1000      1.718       28.62       114.47         1.817       1.697       2.081     
16384      98304           393216            1000      3.579       27.47       109.86         3.739       3.476       4.440     
32768      196608          786432            1000      7.532       26.10       104.41         7.890       7.401       9.449     
65536      393216          1572864           1000      15.661      25.11       100.43         25.151      15.389      17.573    
131072     786432          3145728           1000      32.360      24.30       97.21          40.767      32.098      40.958    
262144     1572864         6291456           1000      65.489      24.02       96.07          78.049      64.989      83.088    
524288     3145728         12582912          1000      132.024     23.83       95.31          155.929     130.914     175.178   
1048576    6291456         25165824          1000      445.909     14.11       56.44          482.221     442.888     519.532   

