the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.430       0.01        0.06           0.780       0.400       1.640     
4          24              96                1000      0.519       0.05        0.18           0.880       0.420       1.780     
16         96              384               1000      0.631       0.15        0.61           0.860       0.560       2.020     
64         384             1536              1000      0.910       0.42        1.69           7.640       0.840       2.580     
256        1536            6144              1000      1.527       1.01        4.02           1.760       1.460       3.600     
1024       6144            24576             1000      3.256       1.89        7.55           3.580       3.120       6.320     
4096       24576           98304             1000      10.462      2.35        9.40           27.380      10.260      21.720    
16384      98304           393216            1000      83.319      1.18        4.72           91.220      82.900      128.900   
65536      393216          1572864           1000      445.036     0.88        3.53           472.260     435.160     510.620   
262144     1572864         6291456           1000      4077.791    0.39        1.54           4260.320    4042.840    4057.240  
1048576    6291456         25165824          1000      46260.732   0.14        0.54           46392.080   46180.860   46313.660 

