the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点�?    计算�?         总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.489       0.01        0.05           0.900       0.460       1.800     
2          12              48                1000      0.500       0.02        0.10           0.800       0.460       1.780     
4          24              96                1000      0.476       0.05        0.20           0.880       0.440       1.760     
8          48              192               1000      0.483       0.10        0.40           1.800       0.440       2.300     
16         96              384               1000      0.501       0.19        0.77           1.220       0.460       1.420     
32         192             768               1000      0.774       0.25        0.99           267.300     0.460       1.900     
64         384             1536              1000      0.544       0.71        2.82           0.820       0.500       1.660     
128        768             3072              1000      0.645       1.19        4.77           1.100       0.580       2.020     
256        1536            6144              1000      0.817       1.88        7.52           7.920       0.780       3.340     
512        3072            12288             1000      1.127       2.73        10.90          1.540       1.040       3.480     
1024       6144            24576             1000      1.702       3.61        14.44          2.640       1.620       4.840     
2048       12288           49152             1000      2.993       4.11        16.42          8.960       2.840       8.760     
4096       24576           98304             1000      5.453       4.51        18.03          12.160      5.260       14.300    
8192       49152           196608            1000      10.303      4.77        19.08          76.600      10.060      122.280   
16384      98304           393216            1000      19.789      4.97        19.87          49.340      19.160      46.400    
32768      196608          786432            1000      67.577      2.91        11.64          121.300     60.860      102.180   
65536      393216          1572864           1000      217.758     1.81        7.22           239.620     211.720     215.540   
131072     786432          3145728           1000      440.374     1.79        7.14           463.680     432.720     430.240   
262144     1572864         6291456           1000      801.860     1.96        7.85           874.080     793.540     795.020   
524288     3145728         12582912          1000      1480.638    2.12        8.50           1590.780    1466.960    1475.440  
1048576    6291456         25165824          1000      3875.429    1.62        6.49           4508.960    3836.780    3868.680  

