the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.113       0.05        0.21           0.240       0.060       0.120     
2          12              48                1000      0.122       0.10        0.39           0.260       0.080       0.480     
4          24              96                1000      0.131       0.18        0.74           0.300       0.100       0.120     
8          48              192               1000      0.145       0.33        1.33           0.500       0.140       0.600     
16         96              384               1000      0.218       0.44        1.76           0.320       0.200       0.320     
32         192             768               1000      0.349       0.55        2.20           0.480       0.320       0.380     
64         384             1536              1000      0.620       0.62        2.48           0.640       0.600       0.640     
128        768             3072              1000      1.594       0.48        1.93           424.720     1.160       1.500     
256        1536            6144              1000      2.256       0.68        2.72           2.360       2.240       2.320     
512        3072            12288             1000      4.441       0.69        2.77           4.840       4.420       4.460     
1024       6144            24576             1000      8.820       0.70        2.79           17.380      8.780       9.120     
2048       12288           49152             1000      17.601      0.70        2.79           65.820      17.520      17.580    
4096       24576           98304             1000      35.245      0.70        2.79           126.760     34.920      35.060    
8192       49152           196608            1000      69.881      0.70        2.81           93.020      69.740      73.540    
16384      98304           393216            1000      139.678     0.70        2.82           163.120     139.360     144.640   
32768      196608          786432            1000      282.114     0.70        2.79           307.540     279.860     288.880   
65536      393216          1572864           1000      579.180     0.68        2.72           627.780     573.000     579.660   
131072     786432          3145728           1000      1163.470    0.68        2.70           1192.000    1158.060    1158.620  
262144     1572864         6291456           1000      2328.925    0.68        2.70           2400.380    2315.540    2333.060  
524288     3145728         12582912          1000      4652.740    0.68        2.70           4681.340    4603.840    4665.480  
1048576    6291456         25165824          1000      10206.806   0.62        2.47           10280.340   10176.900   10199.280 

