the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               16                1000      0.100       0.02        0.16           0.200       0.040       0.140     
2          4               32                1000      0.117       0.03        0.27           0.220       0.060       0.240     
4          8               64                1000      0.093       0.09        0.69           0.360       0.040       0.280     
8          16              128               1000      0.092       0.17        1.39           0.220       0.060       0.120     
16         32              256               1000      0.097       0.33        2.65           0.420       0.080       0.100     
32         64              512               1000      0.108       0.59        4.75           0.220       0.080       0.140     
64         128             1024              1000      0.159       0.80        6.42           0.320       0.140       0.240     
128        256             2048              1000      0.284       0.90        7.21           0.700       0.240       0.300     
256        512             4096              1000      0.477       1.07        8.59           0.900       0.440       0.720     
512        1024            8192              1000      0.877       1.17        9.34           1.560       0.840       1.240     
1024       2048            16384             1000      1.638       1.25        10.00          1.980       1.580       2.560     
2048       4096            32768             1000      3.004       1.36        10.91          3.840       2.980       6.680     
4096       8192            65536             1000      5.866       1.40        11.17          15.600      5.800       11.240    
8192       16384           131072            1000      11.579      1.42        11.32          18.100      11.440      25.340    
16384      32768           262144            1000      23.087      1.42        11.35          62.120      22.740      57.760    
32768      65536           524288            1000      47.178      1.39        11.11          142.840     45.540      121.420   
65536      131072          1048576           1000      226.725     0.58        4.62           302.460     145.400     156.520   
131072     262144          2097152           1000      331.737     0.79        6.32           364.880     312.140     304.040   
262144     524288          4194304           1000      575.451     0.91        7.29           668.780     559.180     583.020   
524288     1048576         8388608           1000      1043.471    1.00        8.04           1142.860    1030.380    1081.040  
1048576    2097152         16777216          1000      3058.293    0.69        5.49           3180.560    3006.560    3024.000  

