the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               16                1000      0.080       0.03        0.20           0.200       0.040       0.100     
2          4               32                1000      0.097       0.04        0.33           0.220       0.060       0.440     
4          8               64                1000      0.079       0.10        0.81           0.160       0.060       0.460     
8          16              128               1000      0.081       0.20        1.57           0.340       0.060       0.160     
16         32              256               1000      0.087       0.37        2.96           0.240       0.060       0.160     
32         64              512               1000      0.096       0.66        5.31           0.240       0.080       0.280     
64         128             1024              1000      0.138       0.93        7.41           0.260       0.120       0.200     
128        256             2048              1000      0.205       1.25        10.01          0.360       0.180       0.380     
256        512             4096              1000      0.383       1.34        10.71          0.560       0.340       0.940     
512        1024            8192              1000      0.662       1.55        12.38          0.820       0.640       1.080     
1024       2048            16384             1000      1.250       1.64        13.11          1.500       1.220       3.080     
2048       4096            32768             1000      2.382       1.72        13.76          10.820      2.340       4.420     
4096       8192            65536             1000      4.634       1.77        14.14          6.880       4.600       10.680    
8192       16384           131072            1000      9.180       1.78        14.28          35.140      9.080       28.520    
16384      32768           262144            1000      18.184      1.80        14.42          44.880      18.040      53.460    
32768      65536           524288            1000      38.099      1.72        13.76          113.700     36.000      114.040   
65536      131072          1048576           1000      187.217     0.70        5.60           256.560     130.340     137.160   
131072     262144          2097152           1000      305.768     0.86        6.86           337.760     289.400     290.240   
262144     524288          4194304           1000      518.210     1.01        8.09           551.980     507.400     533.720   
524288     1048576         8388608           1000      1440.389    0.73        5.82           1582.260    1400.840    1331.900  
1048576    2097152         16777216          1000      2948.114    0.71        5.69           3057.460    2836.080    2810.440  

