the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.112       0.01        0.07           0.360       0.040       0.060     
2          2               16                1000      0.099       0.02        0.16           0.160       0.040       0.240     
4          4               32                1000      0.112       0.04        0.28           0.220       0.060       0.240     
8          8               64                1000      0.091       0.09        0.70           0.200       0.040       0.120     
16         16              128               1000      0.114       0.14        1.12           0.220       0.040       0.260     
32         32              256               1000      0.091       0.35        2.81           0.180       0.060       0.080     
64         64              512               1000      0.099       0.65        5.19           0.240       0.060       0.160     
128        128             1024              1000      0.111       1.15        9.23           0.200       0.080       0.180     
256        256             2048              1000      0.154       1.67        13.33          0.300       0.120       0.220     
512        512             4096              1000      0.235       2.17        17.39          0.360       0.200       0.380     
1024       1024            8192              1000      0.426       2.40        19.21          9.380       0.400       0.760     
2048       2048            16384             1000      0.853       2.40        19.21          1.160       0.820       1.900     
4096       4096            32768             1000      1.632       2.51        20.08          2.280       1.600       4.480     
8192       8192            65536             1000      3.267       2.51        20.06          11.880      3.200       9.520     
16384      16384           131072            1000      6.257       2.62        20.95          15.640      6.140       24.860    
32768      32768           262144            1000      12.239      2.68        21.42          40.380      11.980      46.420    
65536      65536           524288            1000      24.764      2.65        21.17          104.540     23.520      95.380    
131072     131072          1048576           1000      169.496     0.77        6.19           197.380     128.740     132.380   
262144     262144          2097152           1000      319.615     0.82        6.56           341.780     302.400     279.620   
524288     524288          4194304           1000      577.664     0.91        7.26           606.660     561.820     546.720   
1048576    1048576         8388608           1000      1062.613    0.99        7.89           1114.540    1050.000    1050.380  

