the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.064       0.02        0.13           0.200       0.040       0.100     
2          2               16                1000      0.082       0.02        0.19           0.340       0.040       0.300     
4          4               32                1000      0.098       0.04        0.33           0.220       0.040       0.220     
8          8               64                1000      0.094       0.08        0.68           0.200       0.040       0.220     
16         16              128               1000      0.098       0.16        1.30           0.300       0.060       0.360     
32         32              256               1000      0.122       0.26        2.09           0.300       0.080       0.480     
64         64              512               1000      0.153       0.42        3.35           0.440       0.120       0.360     
128        128             1024              1000      0.212       0.60        4.83           0.840       0.180       0.520     
256        256             2048              1000      0.334       0.77        6.13           0.740       0.300       0.620     
512        512             4096              1000      0.616       0.83        6.65           0.800       0.600       1.260     
1024       1024            8192              1000      1.117       0.92        7.33           2.120       1.080       3.360     
2048       2048            16384             1000      2.090       0.98        7.84           7.240       2.020       6.240     
4096       4096            32768             1000      4.031       1.02        8.13           5.880       3.920       10.500    
8192       8192            65536             1000      8.680       0.94        7.55           79.100      7.580       29.880    
16384      16384           131072            1000      16.078      1.02        8.15           37.200      14.840      53.140    
32768      32768           262144            1000      34.258      0.96        7.65           105.260     32.300      113.940   
65536      65536           524288            1000      238.512     0.27        2.20           286.020     207.080     205.580   
131072     131072          1048576           1000      456.052     0.29        2.30           479.920     447.600     448.380   
262144     262144          2097152           1000      1058.303    0.25        1.98           1105.700    1040.380    1086.920  
524288     524288          4194304           1000      2312.107    0.23        1.81           2959.960    2284.460    2298.480  
1048576    1048576         8388608           1000      5533.604    0.19        1.52           5891.840    5478.300    5660.520  

