the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.072       0.08        0.33           0.160       0.060       0.080     
2          12              48                1000      0.067       0.18        0.71           0.200       0.040       0.180     
4          24              96                1000      0.081       0.30        1.19           0.180       0.060       0.220     
8          48              192               1000      0.075       0.64        2.57           0.260       0.060       0.080     
16         96              384               1000      0.085       1.13        4.51           0.180       0.060       0.180     
32         192             768               1000      0.116       1.66        6.64           0.380       0.100       0.340     
64         384             1536              1000      0.158       2.43        9.71           0.420       0.140       0.360     
128        768             3072              1000      0.231       3.33        13.30          0.320       0.220       0.320     
256        1536            6144              1000      0.384       4.00        16.00          0.520       0.360       0.600     
512        3072            12288             1000      0.708       4.34        17.35          0.800       0.680       0.780     
1024       6144            24576             1000      1.335       4.60        18.40          12.880      1.260       1.820     
2048       12288           49152             1000      2.499       4.92        19.67          3.120       2.420       3.340     
4096       24576           98304             1000      4.973       4.94        19.77          83.300      4.740       5.480     
8192       49152           196608            1000      9.579       5.13        20.53          15.200      9.360       13.760    
16384      98304           393216            1000      18.838      5.22        20.87          48.320      18.620      23.320    
32768      196608          786432            1000      37.750      5.21        20.83          66.380      36.240      48.380    
65536      393216          1572864           1000      75.861      5.18        20.73          120.080     74.000      104.800   
131072     786432          3145728           1000      217.210     3.62        14.48          248.220     165.640     163.040   
262144     1572864         6291456           1000      328.843     4.78        19.13          352.740     321.500     319.100   
524288     3145728         12582912          1000      639.502     4.92        19.68          688.280     634.180     662.260   
1048576    6291456         25165824          1000      1266.183    4.97        19.88          1292.420    1256.480    1262.560  

