the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.276       0.01        0.03           0.520       0.220       0.280     
2          4               16                1000      0.281       0.01        0.06           0.620       0.240       1.140     
4          8               32                1000      0.293       0.03        0.11           0.460       0.220       0.900     
8          16              64                1000      0.276       0.06        0.23           0.400       0.240       0.820     
16         32              128               1000      0.275       0.12        0.46           0.540       0.220       1.420     
32         64              256               1000      0.286       0.22        0.89           8.160       0.220       1.740     
64         128             512               1000      0.284       0.45        1.80           0.660       0.240       0.860     
128        256             1024              1000      0.296       0.87        3.46           0.680       0.240       0.640     
256        512             2048              1000      0.381       1.34        5.37           0.700       0.340       0.660     
512        1024            4096              1000      0.442       2.32        9.27           0.660       0.380       1.280     
1024       2048            8192              1000      0.646       3.17        12.68          1.100       0.600       2.180     
2048       4096            16384             1000      1.073       3.82        15.27          3.560       1.020       3.220     
4096       8192            32768             1000      1.941       4.22        16.88          6.720       1.880       6.320     
8192       16384           65536             1000      3.571       4.59        18.35          12.080      3.460       11.840    
16384      32768           131072            1000      6.969       4.70        18.81          17.800      6.700       27.440    
32768      65536           262144            1000      13.571      4.83        19.32          177.780     13.020      59.380    
65536      131072          524288            1000      35.713      3.67        14.68          183.560     26.460      124.480   
131072     262144          1048576           1000      199.988     1.31        5.24           385.980     188.460     192.240   
262144     524288          2097152           1000      387.673     1.35        5.41           461.480     377.800     380.540   
524288     1048576         4194304           1000      889.122     1.18        4.72           1314.500    787.800     821.300   
1048576    2097152         8388608           1000      1488.151    1.41        5.64           1533.680    1474.200    1542.220  

