the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.291       0.01        0.03           0.780       0.240       2.380     
2          4               16                1000      0.297       0.01        0.05           0.720       0.260       1.260     
4          8               32                1000      0.292       0.03        0.11           0.500       0.260       1.480     
8          16              64                1000      0.293       0.05        0.22           0.480       0.280       1.520     
16         32              128               1000      0.329       0.10        0.39           0.460       0.240       1.440     
32         64              256               1000      0.330       0.19        0.78           0.520       0.300       1.300     
64         128             512               1000      0.379       0.34        1.35           0.660       0.300       1.600     
128        256             1024              1000      0.468       0.55        2.19           1.060       0.420       1.580     
256        512             2048              1000      0.621       0.83        3.30           1.100       0.540       1.460     
512        1024            4096              1000      0.940       1.09        4.36           1.520       0.900       2.080     
1024       2048            8192              1000      1.611       1.27        5.09           86.040      1.480       3.920     
2048       4096            16384             1000      2.523       1.62        6.49           15.000      2.400       7.060     
4096       8192            32768             1000      4.942       1.66        6.63           95.540      4.740       12.960    
8192       16384           65536             1000      9.146       1.79        7.17           20.940      8.980       27.920    
16384      32768           131072            1000      17.407      1.88        7.53           121.320     17.000      78.680    
32768      65536           262144            1000      39.919      1.64        6.57           164.840     38.200      126.280   
65536      131072          524288            1000      230.026     0.57        2.28           292.480     218.180     200.380   
131072     262144          1048576           1000      396.131     0.66        2.65           455.120     387.600     384.160   
262144     524288          2097152           1000      1011.601    0.52        2.07           1685.520    791.380     830.800   
524288     1048576         4194304           1000      1367.346    0.77        3.07           1531.240    1351.980    1395.680  
1048576    2097152         8388608           1000      3022.775    0.69        2.78           3072.180    2982.240    2893.360  

