the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.100       0.06        0.24           0.280       0.040       0.240     
2          12              48                1000      0.104       0.12        0.46           0.200       0.040       0.120     
4          24              96                1000      0.116       0.21        0.83           0.300       0.040       0.300     
8          48              192               1000      0.083       0.58        2.32           0.220       0.040       0.280     
16         96              384               1000      0.105       0.91        3.64           0.180       0.060       0.340     
32         192             768               1000      0.118       1.62        6.48           0.260       0.100       0.340     
64         384             1536              1000      0.139       2.75        11.02          0.300       0.120       0.360     
128        768             3072              1000      0.234       3.28        13.14          0.360       0.200       0.340     
256        1536            6144              1000      0.345       4.45        17.80          6.500       0.320       0.480     
512        3072            12288             1000      0.603       5.09        20.36          0.700       0.560       0.880     
1024       6144            24576             1000      1.219       5.04        20.17          1.640       1.180       1.620     
2048       12288           49152             1000      2.154       5.70        22.82          2.600       2.120       2.460     
4096       24576           98304             1000      4.320       5.69        22.76          40.860      4.260       5.480     
8192       49152           196608            1000      8.439       5.82        23.30          35.420      8.380       13.620    
16384      98304           393216            1000      16.639      5.91        23.63          23.000      16.580      26.660    
32768      196608          786432            1000      33.242      5.91        23.66          83.700      33.000      56.900    
65536      393216          1572864           1000      103.803     3.79        15.15          135.300     84.240      104.100   
131072     786432          3145728           1000      166.731     4.72        18.87          199.160     160.940     154.660   
262144     1572864         6291456           1000      330.915     4.75        19.01          355.440     319.540     314.780   
524288     3145728         12582912          1000      617.180     5.10        20.39          645.860     610.220     624.400   
1048576    6291456         25165824          1000      1197.635    5.25        21.01          1363.780    1191.640    2040.800  

