the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.238       0.00        0.03           0.400       0.220       0.740     
2          2               16                1000      0.239       0.01        0.07           0.500       0.200       1.280     
4          4               32                1000      0.245       0.02        0.13           0.660       0.200       0.980     
8          8               64                1000      0.231       0.03        0.28           0.660       0.220       1.560     
16         16              128               1000      0.233       0.07        0.55           0.980       0.200       1.500     
32         32              256               1000      0.236       0.14        1.09           0.580       0.200       1.220     
64         64              512               1000      0.243       0.26        2.11           0.500       0.200       1.040     
128        128             1024              1000      0.266       0.48        3.85           0.620       0.240       0.760     
256        256             2048              1000      0.309       0.83        6.64           0.800       0.260       0.740     
512        512             4096              1000      0.413       1.24        9.91           0.760       0.360       1.220     
1024       1024            8192              1000      0.576       1.78        14.22          1.300       0.520       1.660     
2048       2048            16384             1000      1.371       1.49        11.95          9.540       1.220       3.220     
4096       4096            32768             1000      2.107       1.94        15.55          2.700       1.740       5.900     
8192       8192            65536             1000      3.647       2.25        17.97          10.120      3.520       11.100    
16384      16384           131072            1000      6.792       2.41        19.30          13.980      6.520       26.140    
32768      32768           262144            1000      12.988      2.52        20.18          33.820      12.380      45.700    
65536      65536           524288            1000      26.170      2.50        20.03          92.960      24.400      92.040    
131072     131072          1048576           1000      183.069     0.72        5.73           212.460     158.120     169.880   
262144     262144          2097152           1000      369.474     0.71        5.68           406.480     361.400     347.720   
524288     524288          4194304           1000      727.992     0.72        5.76           1010.580    705.600     714.160   
1048576    1048576         8388608           1000      1330.555    0.79        6.30           1388.040    1313.560    1315.100  

