the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               8                 1000      0.062       0.10        0.13           0.160       0.040       0.080     
2          12              16                1000      0.078       0.15        0.21           0.200       0.040       0.080     
3          18              24                1000      0.087       0.21        0.28           0.180       0.060       0.120     
4          24              32                1000      0.098       0.24        0.33           0.220       0.040       0.220     
5          30              40                1000      0.104       0.29        0.38           0.200       0.060       0.100     
6          36              48                1000      0.101       0.36        0.47           0.200       0.040       0.100     
7          42              56                1000      0.105       0.40        0.53           0.200       0.060       0.100     
8          48              64                1000      0.086       0.56        0.75           0.120       0.040       0.100     
16         96              128               1000      0.093       1.03        1.38           0.300       0.060       0.160     
32         192             256               1000      0.100       1.91        2.55           0.200       0.060       0.080     
64         384             512               1000      0.108       3.56        4.75           0.240       0.080       0.120     
128        768             1024              1000      0.135       5.70        7.60           0.260       0.100       0.220     
256        1536            2048              1000      0.197       7.78        10.37          0.320       0.160       0.280     
512        3072            4096              1000      0.322       9.55        12.74          0.420       0.280       0.560     
1024       6144            8192              1000      0.720       8.53        11.38          1.140       0.520       0.900     
2048       12288           16384             1000      1.092       11.25       15.00          1.680       1.020       3.360     
4096       24576           32768             1000      2.037       12.07       16.09          3.240       1.960       3.580     
8192       49152           65536             1000      3.822       12.86       17.15          6.440       3.720       8.720     
16384      98304           131072            1000      7.452       13.19       17.59          16.540      7.380       14.660    
32768      196608          262144            1000      14.811      13.27       17.70          52.600      14.540      36.840    
65536      393216          524288            1000      29.556      13.30       17.74          73.560      29.060      87.380    
131072     786432          1048576           1000      110.618     7.11        9.48           187.300     100.600     164.020   
262144     1572864         2097152           1000      268.027     5.87        7.82           295.300     259.860     235.360   
524288     3145728         4194304           1000      489.324     6.43        8.57           519.120     470.540     450.460   
1048576    6291456         8388608           1000      851.640     7.39        9.85           940.760     841.520     837.220   

