the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.254       0.00        0.03           0.560       0.220       0.600     
2          2               16                1000      0.259       0.01        0.06           0.460       0.220       1.380     
4          4               32                1000      0.258       0.02        0.12           0.680       0.220       1.060     
8          8               64                1000      0.267       0.03        0.24           0.480       0.200       1.440     
16         16              128               1000      0.281       0.06        0.46           0.520       0.240       1.060     
32         32              256               1000      0.275       0.12        0.93           0.420       0.240       0.920     
64         64              512               1000      0.290       0.22        1.77           0.500       0.240       1.380     
128        128             1024              1000      0.316       0.40        3.24           0.460       0.280       1.240     
256        256             2048              1000      0.364       0.70        5.62           0.780       0.300       1.560     
512        512             4096              1000      0.453       1.13        9.05           1.040       0.400       1.660     
1024       1024            8192              1000      0.611       1.68        13.41          1.040       0.560       2.400     
2048       2048            16384             1000      1.079       1.90        15.18          1.680       0.960       3.920     
4096       4096            32768             1000      1.833       2.23        17.88          8.140       1.760       5.080     
8192       8192            65536             1000      3.425       2.39        19.14          10.460      3.320       10.000    
16384      16384           131072            1000      6.457       2.54        20.30          17.120      6.280       15.220    
32768      32768           262144            1000      12.513      2.62        20.95          29.300      12.120      36.940    
65536      65536           524288            1000      25.673      2.55        20.42          76.240      24.220      79.260    
131072     131072          1048576           1000      165.385     0.79        6.34           188.880     137.900     136.760   
262144     262144          2097152           1000      307.799     0.85        6.81           354.320     299.900     265.740   
524288     524288          4194304           1000      545.506     0.96        7.69           590.840     518.780     517.420   
1048576    1048576         8388608           1000      970.850     1.08        8.64           1044.680    957.160     1161.060  

