the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.098       0.01        0.08           0.200       0.040       0.080     
2          2               16                1000      0.099       0.02        0.16           0.200       0.040       0.140     
4          4               32                1000      0.103       0.04        0.31           0.280       0.040       0.080     
8          8               64                1000      0.126       0.06        0.51           0.220       0.040       0.220     
16         16              128               1000      0.115       0.14        1.11           0.220       0.060       0.220     
32         32              256               1000      0.108       0.30        2.37           0.420       0.080       0.100     
64         64              512               1000      0.125       0.51        4.10           0.220       0.080       0.180     
128        128             1024              1000      0.175       0.73        5.85           0.460       0.160       0.240     
256        256             2048              1000      0.275       0.93        7.43           0.440       0.240       0.460     
512        512             4096              1000      0.468       1.09        8.75           0.700       0.420       0.580     
1024       1024            8192              1000      0.889       1.15        9.21           1.320       0.820       1.120     
2048       2048            16384             1000      1.665       1.23        9.84           2.520       1.540       2.180     
4096       4096            32768             1000      2.985       1.37        10.98          4.960       2.940       4.660     
8192       8192            65536             1000      5.850       1.40        11.20          14.800      5.740       9.780     
16384      16384           131072            1000      11.458      1.43        11.44          37.820      11.340      22.480    
32768      32768           262144            1000      22.707      1.44        11.54          41.120      22.520      45.540    
65536      65536           524288            1000      46.566      1.41        11.26          118.540     45.080      92.960    
131072     131072          1048576           1000      248.976     0.53        4.21           298.900     212.800     196.880   
262144     262144          2097152           1000      484.271     0.54        4.33           504.760     473.720     465.960   
524288     524288          4194304           1000      981.854     0.53        4.27           1089.200    969.620     973.720   
1048576    1048576         8388608           1000      1774.941    0.59        4.73           2064.660    1752.800    1778.620  

