the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.488       0.01        0.05           6.480       0.380       3.360     
4          24              96                1000      0.448       0.05        0.21           0.960       0.380       3.200     
16         96              384               1000      0.545       0.18        0.70           9.180       0.460       1.280     
64         384             1536              1000      0.665       0.58        2.31           6.900       0.600       1.520     
256        1536            6144              1000      0.933       1.65        6.58           1.300       0.860       1.940     
1024       6144            24576             1000      1.621       3.79        15.16          2.160       1.540       3.280     
4096       24576           98304             1000      3.393       7.24        28.97          11.040      3.320       8.620     
16384      98304           393216            1000      22.909      4.29        17.16          30.800      22.720      38.200    
65536      393216          1572864           1000      83.972      4.68        18.73          102.400     82.600      137.740   
262144     1572864         6291456           1000      697.078     2.26        9.03           879.500     677.060     707.120   
1048576    6291456         25165824          1000      15713.599   0.40        1.60           17186.220   15421.740   15506.480 

