the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.227       0.03        0.07           7.960       0.200       1.620     
2          14              32                1000      0.223       0.06        0.14           0.740       0.200       0.940     
4          28              64                1000      0.231       0.12        0.28           0.680       0.180       0.600     
8          56              128               1000      0.232       0.24        0.55           0.400       0.220       0.480     
16         112             256               1000      0.252       0.45        1.02           0.640       0.220       0.760     
32         224             512               1000      0.270       0.83        1.90           0.440       0.200       0.400     
64         448             1024              1000      0.347       1.29        2.95           0.500       0.280       0.720     
128        896             2048              1000      0.482       1.86        4.25           0.780       0.420       1.440     
256        1792            4096              1000      0.742       2.41        5.52           1.240       0.680       2.520     
512        3584            8192              1000      1.277       2.81        6.41           8.820       1.200       3.160     
1024       7168            16384             1000      2.239       3.20        7.32           8.080       2.140       5.880     
2048       14336           32768             1000      5.477       2.62        5.98           12.780      5.060       10.740    
4096       28672           65536             1000      8.064       3.56        8.13           15.400      7.840       17.080    
8192       57344           131072            1000      15.446      3.71        8.49           32.020      14.140      41.700    
16384      114688          262144            1000      31.610      3.63        8.29           92.520      29.660      87.020    
32768      229376          524288            1000      190.873     1.20        2.75           225.220     177.520     175.620   
65536      458752          1048576           1000      373.193     1.23        2.81           416.920     362.340     366.380   
131072     917504          2097152           1000      768.780     1.19        2.73           798.540     748.160     753.820   
262144     1835008         4194304           1000      1919.719    0.96        2.18           1970.200    1898.040    1920.020  
524288     3670016         8388608           1000      3629.039    1.01        2.31           3822.800    3605.640    3659.820  
1048576    7340032         16777216          1000      7444.293    0.99        2.25           7677.940    7388.520    7372.460  

