the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.201       0.03        0.08           0.640       0.160       1.520     
2          14              32                1000      0.201       0.07        0.16           0.380       0.140       0.680     
4          28              64                1000      0.236       0.12        0.27           2.640       0.180       0.820     
8          56              128               1000      0.217       0.26        0.59           0.360       0.160       1.100     
16         112             256               1000      0.238       0.47        1.07           0.440       0.200       0.400     
32         224             512               1000      0.261       0.86        1.96           0.460       0.200       1.120     
64         448             1024              1000      0.326       1.37        3.14           0.500       0.280       0.960     
128        896             2048              1000      0.461       1.94        4.44           0.600       0.420       1.080     
256        1792            4096              1000      0.855       2.10        4.79           1.120       0.800       1.800     
512        3584            8192              1000      1.259       2.85        6.51           1.680       1.180       3.040     
1024       7168            16384             1000      2.203       3.25        7.44           2.960       2.120       7.000     
2048       14336           32768             1000      5.443       2.63        6.02           11.680      5.220       11.200    
4096       28672           65536             1000      8.144       3.52        8.05           17.160      7.840       18.120    
8192       57344           131072            1000      15.558      3.69        8.42           30.340      15.060      41.960    
16384      114688          262144            1000      31.351      3.66        8.36           92.760      29.380      89.860    
32768      229376          524288            1000      190.915     1.20        2.75           229.640     179.420     177.280   
65536      458752          1048576           1000      372.773     1.23        2.81           408.860     362.960     364.400   
131072     917504          2097152           1000      768.764     1.19        2.73           840.600     756.860     775.980   
262144     1835008         4194304           1000      1920.261    0.96        2.18           1969.660    1902.920    1928.080  
524288     3670016         8388608           1000      3628.997    1.01        2.31           3910.980    3603.340    3626.020  
1048576    7340032         16777216          1000      7448.808    0.99        2.25           8128.740    7368.060    7439.260  

