the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.127       0.05        0.19           0.240       0.060       0.100     
2          12              48                1000      0.121       0.10        0.40           6.880       0.060       0.120     
4          24              96                1000      0.111       0.22        0.87           0.360       0.060       0.420     
8          48              192               1000      0.140       0.34        1.37           0.380       0.060       0.320     
16         96              384               1000      0.164       0.59        2.34           0.560       0.100       0.320     
32         192             768               1000      0.156       1.23        4.91           0.280       0.120       0.160     
64         384             1536              1000      0.199       1.93        7.72           0.320       0.180       0.340     
128        768             3072              1000      0.255       3.01        12.05          0.580       0.220       0.500     
256        1536            6144              1000      0.382       4.02        16.09          0.500       0.360       0.500     
512        3072            12288             1000      0.646       4.76        19.03          7.340       0.600       1.100     
1024       6144            24576             1000      1.180       5.21        20.83          1.480       1.160       1.860     
2048       12288           49152             1000      2.240       5.49        21.95          4.960       2.220       5.780     
4096       24576           98304             1000      4.307       5.71        22.82          5.600       4.260       13.680    
8192       49152           196608            1000      8.457       5.81        23.25          14.900      8.380       27.500    
16384      98304           393216            1000      16.767      5.86        23.45          26.400      16.560      44.840    
32768      196608          786432            1000      34.856      5.64        22.56          67.060      32.940      68.600    
65536      393216          1572864           1000      95.058      4.14        16.55          151.800     87.240      115.300   
131072     786432          3145728           1000      217.835     3.61        14.44          270.060     212.420     222.620   
262144     1572864         6291456           1000      507.147     3.10        12.41          535.060     500.640     497.880   
524288     3145728         12582912          1000      1140.990    2.76        11.03          1331.720    1130.420    1133.000  
1048576    6291456         25165824          1000      2669.404    2.36        9.43           3167.240    2632.340    2663.860  

