the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.084       0.01        0.10           0.260       0.060       0.080     
2          2               16                1000      0.094       0.02        0.17           0.180       0.040       0.360     
4          4               32                1000      0.123       0.03        0.26           0.180       0.060       0.360     
8          8               64                1000      0.137       0.06        0.47           0.260       0.080       0.380     
16         16              128               1000      0.135       0.12        0.95           0.620       0.080       0.280     
32         32              256               1000      0.132       0.24        1.94           0.300       0.060       0.400     
64         64              512               1000      0.123       0.52        4.15           0.520       0.100       0.320     
128        128             1024              1000      0.145       0.88        7.07           0.280       0.120       0.260     
256        256             2048              1000      0.170       1.50        12.03          0.340       0.160       0.360     
512        512             4096              1000      0.253       2.03        16.21          0.580       0.240       0.660     
1024       1024            8192              1000      0.430       2.38        19.05          0.820       0.380       1.300     
2048       2048            16384             1000      0.830       2.47        19.74          1.040       0.780       1.840     
4096       4096            32768             1000      1.679       2.44        19.52          8.060       1.620       4.200     
8192       8192            65536             1000      3.378       2.43        19.40          4.140       3.320       6.480     
16384      16384           131072            1000      6.609       2.48        19.83          13.320      6.480       13.520    
32768      32768           262144            1000      13.061      2.51        20.07          22.600      12.860      27.400    
65536      65536           524288            1000      26.647      2.46        19.68          54.300      25.600      56.660    
131072     131072          1048576           1000      115.755     1.13        9.06           137.640     103.740     111.660   
262144     262144          2097152           1000      240.222     1.09        8.73           262.580     235.920     243.440   
524288     524288          4194304           1000      485.455     1.08        8.64           512.420     479.140     485.980   
1048576    1048576         8388608           1000      1230.072    0.85        6.82           1410.440    1215.780    1228.260  

