the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.289       0.01        0.03           0.700       0.220       0.500     
2          4               16                1000      0.303       0.01        0.05           0.760       0.220       0.620     
4          8               32                1000      0.295       0.03        0.11           0.780       0.240       1.000     
8          16              64                1000      0.294       0.05        0.22           0.800       0.220       1.000     
16         32              128               1000      0.287       0.11        0.45           0.680       0.220       0.760     
32         64              256               1000      0.296       0.22        0.86           0.780       0.240       0.440     
64         128             512               1000      0.297       0.43        1.72           0.700       0.280       0.980     
128        256             1024              1000      0.316       0.81        3.24           0.780       0.280       1.060     
256        512             2048              1000      0.379       1.35        5.41           0.680       0.320       1.360     
512        1024            4096              1000      0.462       2.22        8.87           0.760       0.440       1.540     
1024       2048            8192              1000      0.664       3.08        12.34          1.200       0.580       1.860     
2048       4096            16384             1000      1.088       3.76        15.06          2.000       1.020       3.480     
4096       8192            32768             1000      2.768       2.96        11.84          10.620      2.480       6.320     
8192       16384           65536             1000      3.798       4.31        17.26          11.820      3.440       10.720    
16384      32768           131072            1000      7.177       4.57        18.26          19.800      6.720       23.220    
32768      65536           262144            1000      14.029      4.67        18.69          37.840      13.040      53.740    
65536      131072          524288            1000      37.878      3.46        13.84          111.180     28.360      120.400   
131072     262144          1048576           1000      200.259     1.31        5.24           273.260     187.440     224.220   
262144     524288          2097152           1000      368.762     1.42        5.69           400.820     361.020     349.480   
524288     1048576         4194304           1000      724.743     1.45        5.79           775.380     711.920     697.960   
1048576    2097152         8388608           1000      1288.569    1.63        6.51           1383.720    1273.020    1288.360  

