the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.091       0.01        0.04           0.240       0.040       0.100     
2          2               8                 1000      0.092       0.02        0.09           0.220       0.040       0.340     
4          4               16                1000      0.092       0.04        0.17           0.240       0.040       0.220     
8          8               32                1000      0.118       0.07        0.27           0.260       0.060       0.420     
16         16              64                1000      0.135       0.12        0.47           7.580       0.060       0.300     
32         32              128               1000      0.119       0.27        1.08           0.260       0.100       0.220     
64         64              256               1000      0.152       0.42        1.68           6.220       0.080       0.260     
128        128             512               1000      0.144       0.89        3.56           0.260       0.100       0.300     
256        256             1024              1000      0.156       1.64        6.55           0.480       0.120       0.640     
512        512             2048              1000      0.255       2.01        8.03           0.380       0.220       0.680     
1024       1024            4096              1000      0.383       2.67        10.69          0.680       0.340       0.660     
2048       2048            8192              1000      0.710       2.89        11.54          1.840       0.680       2.080     
4096       4096            16384             1000      1.457       2.81        11.25          3.080       1.400       3.400     
8192       8192            32768             1000      2.782       2.94        11.78          12.700      2.740       6.140     
16384      16384           65536             1000      5.512       2.97        11.89          12.740      5.480       12.240    
32768      32768           131072            1000      10.785      3.04        12.15          17.760      10.720      21.820    
65536      65536           262144            1000      21.836      3.00        12.01          34.820      21.560      46.160    
131072     131072          524288            1000      42.772      3.06        12.26          64.600      42.300      109.540   
262144     262144          1048576           1000      127.146     2.06        8.25           187.760     117.780     256.400   
524288     524288          2097152           1000      602.674     0.87        3.48           663.820     587.540     655.760   
1048576    1048576         4194304           1000      1553.931    0.67        2.70           1655.760    1518.980    1549.880  

