the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.101       0.01        0.08           0.220       0.040       0.380     
2          2               16                1000      0.101       0.02        0.16           0.180       0.040       0.220     
4          4               32                1000      0.120       0.03        0.27           0.240       0.060       0.460     
8          8               64                1000      0.134       0.06        0.48           0.340       0.060       0.120     
16         16              128               1000      1.042       0.02        0.12           905.700     0.060       0.260     
32         32              256               1000      0.141       0.23        1.81           0.260       0.080       0.220     
64         64              512               1000      0.142       0.45        3.61           0.260       0.100       0.360     
128        128             1024              1000      0.169       0.76        6.05           0.340       0.140       0.700     
256        256             2048              1000      0.209       1.23        9.81           0.340       0.180       0.600     
512        512             4096              1000      0.286       1.79        14.34          0.380       0.260       0.560     
1024       1024            8192              1000      0.481       2.13        17.03          0.760       0.460       1.640     
2048       2048            16384             1000      0.960       2.13        17.07          1.420       0.920       3.240     
4096       4096            32768             1000      2.043       2.00        16.04          2.760       1.980       6.600     
8192       8192            65536             1000      3.818       2.15        17.16          4.980       3.700       12.480    
16384      16384           131072            1000      10.432      1.57        12.56          17.020      9.920       29.960    
32768      32768           262144            1000      21.301      1.54        12.31          49.520      20.400      62.860    
65536      65536           524288            1000      48.577      1.35        10.79          159.820     42.260      118.520   
131072     131072          1048576           1000      257.143     0.51        4.08           288.640     241.600     260.560   
262144     262144          2097152           1000      574.555     0.46        3.65           640.580     533.520     556.080   
524288     524288          4194304           1000      1297.759    0.40        3.23           1559.120    1223.640    1258.840  
1048576    1048576         8388608           1000      2627.948    0.40        3.19           3188.620    2441.080    2504.240  

