the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.090       0.07        0.27           0.220       0.040       0.080     
2          12              48                1000      0.101       0.12        0.47           0.200       0.040       0.180     
4          24              96                1000      0.120       0.20        0.80           7.180       0.040       0.220     
8          48              192               1000      0.107       0.45        1.79           0.220       0.060       0.240     
16         96              384               1000      0.109       0.88        3.51           0.140       0.080       0.260     
32         192             768               1000      0.126       1.53        6.10           0.240       0.100       0.320     
64         384             1536              1000      0.158       2.43        9.70           0.400       0.140       0.240     
128        768             3072              1000      0.234       3.28        13.11          0.360       0.220       0.300     
256        1536            6144              1000      0.357       4.31        17.22          0.520       0.340       0.400     
512        3072            12288             1000      0.622       4.94        19.76          0.960       0.600       0.720     
1024       6144            24576             1000      1.188       5.17        20.68          9.140       1.160       1.440     
2048       12288           49152             1000      2.417       5.08        20.34          8.940       2.220       2.740     
4096       24576           98304             1000      4.616       5.32        21.30          10.480      4.400       5.420     
8192       49152           196608            1000      8.885       5.53        22.13          14.900      8.620       14.840    
16384      98304           393216            1000      17.399      5.65        22.60          24.860      17.080      29.500    
32768      196608          786432            1000      34.895      5.63        22.54          55.980      33.940      62.320    
65536      393216          1572864           1000      109.519     3.59        14.36          125.100     104.160     118.100   
131072     786432          3145728           1000      226.611     3.47        13.88          263.920     220.540     229.280   
262144     1572864         6291456           1000      485.465     3.24        12.96          676.780     475.720     472.860   
524288     3145728         12582912          1000      947.230     3.32        13.28          1284.140    937.260     939.080   
1048576    6291456         25165824          1000      1160.464    5.42        21.69          1429.740    1149.260    1165.080  

