the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.087       0.01        0.05           0.200       0.040       0.080     
2          2               8                 1000      0.100       0.02        0.08           0.200       0.040       0.220     
4          4               16                1000      0.115       0.03        0.14           0.240       0.040       0.100     
8          8               32                1000      0.119       0.07        0.27           0.220       0.060       0.140     
16         16              64                1000      0.140       0.11        0.46           0.480       0.080       0.280     
32         32              128               1000      0.165       0.19        0.78           0.340       0.100       0.400     
64         64              256               1000      0.198       0.32        1.29           0.300       0.120       0.500     
128        128             512               1000      0.281       0.45        1.82           0.560       0.220       0.640     
256        256             1024              1000      0.430       0.59        2.38           0.540       0.380       0.660     
512        512             2048              1000      0.748       0.68        2.74           7.980       0.700       1.200     
1024       1024            4096              1000      1.359       0.75        3.01           4.020       1.280       1.720     
2048       2048            8192              1000      2.468       0.83        3.32           10.560      2.400       3.000     
4096       4096            16384             1000      4.834       0.85        3.39           12.880      4.740       5.600     
8192       8192            32768             1000      9.484       0.86        3.46           17.680      9.400       11.360    
16384      16384           65536             1000      18.698      0.88        3.51           26.860      18.600      20.260    
32768      32768           131072            1000      37.319      0.88        3.51           153.600     37.000      40.240    
65536      65536           262144            1000      74.642      0.88        3.51           147.380     73.900      103.020   
131072     131072          524288            1000      151.363     0.87        3.46           291.200     147.680     160.620   
262144     262144          1048576           1000      480.737     0.55        2.18           595.320     443.540     313.860   
524288     524288          2097152           1000      648.752     0.81        3.23           854.480     640.400     628.880   
1048576    1048576         4194304           1000      1259.237    0.83        3.33           1719.540    1246.480    1261.540  

