the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.075       0.03        0.11           0.200       0.040       0.080     
2          4               16                1000      0.069       0.06        0.23           0.240       0.040       0.240     
4          8               32                1000      0.077       0.10        0.42           0.340       0.040       0.120     
8          16              64                1000      0.139       0.11        0.46           0.260       0.120       0.320     
16         32              128               1000      0.134       0.24        0.96           0.480       0.120       0.120     
32         64              256               1000      0.131       0.49        1.95           0.420       0.080       0.200     
64         128             512               1000      0.143       0.89        3.57           0.360       0.120       0.500     
128        256             1024              1000      0.177       1.45        5.78           0.420       0.160       0.220     
256        512             2048              1000      0.239       2.14        8.56           0.400       0.200       0.320     
512        1024            4096              1000      0.362       2.82        11.30          0.560       0.340       0.420     
1024       2048            8192              1000      0.623       3.29        13.15          7.680       0.600       0.900     
2048       4096            16384             1000      1.122       3.65        14.61          1.460       1.100       2.480     
4096       8192            32768             1000      2.127       3.85        15.41          8.480       2.100       4.880     
8192       16384           65536             1000      4.146       3.95        15.81          12.340      4.100       9.420     
16384      32768           131072            1000      8.100       4.05        16.18          15.020      8.060       17.500    
32768      65536           262144            1000      16.050      4.08        16.33          23.380      16.020      31.140    
65536      131072          524288            1000      32.028      4.09        16.37          96.980      31.880      65.100    
131072     262144          1048576           1000      64.212      4.08        16.33          87.120      63.620      118.280   
262144     524288          2097152           1000      237.073     2.21        8.85           349.780     213.520     272.760   
524288     1048576         4194304           1000      641.135     1.64        6.54           687.860     625.760     682.120   
1048576    2097152         8388608           1000      1566.910    1.34        5.35           1845.040    1498.700    1559.160  

