the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.122       0.01        0.03           0.480       0.080       0.080     
2          2               8                 1000      0.124       0.02        0.06           0.240       0.100       0.640     
4          4               16                1000      0.120       0.03        0.13           0.360       0.100       0.380     
8          8               32                1000      0.121       0.07        0.26           0.260       0.100       0.160     
16         16              64                1000      0.129       0.12        0.49           0.340       0.100       0.280     
32         32              128               1000      0.144       0.22        0.89           0.360       0.100       0.300     
64         64              256               1000      0.198       0.32        1.29           6.940       0.180       0.440     
128        128             512               1000      0.327       0.39        1.57           0.700       0.300       0.420     
256        256             1024              1000      0.575       0.45        1.78           0.680       0.560       0.600     
512        512             2048              1000      1.088       0.47        1.88           1.380       1.060       1.240     
1024       1024            4096              1000      2.115       0.48        1.94           9.460       2.100       2.460     
2048       2048            8192              1000      4.165       0.49        1.97           10.820      4.140       4.480     
4096       4096            16384             1000      8.295       0.49        1.98           16.460      8.240       8.960     
8192       8192            32768             1000      16.517      0.50        1.98           28.400      16.440      16.860    
16384      16384           65536             1000      32.941      0.50        1.99           40.280      32.820      33.660    
32768      32768           131072            1000      65.851      0.50        1.99           74.340      65.600      67.260    
65536      65536           262144            1000      131.647     0.50        1.99           156.160     131.140     167.360   
131072     131072          524288            1000      264.312     0.50        1.98           411.340     262.220     344.460   
262144     262144          1048576           1000      769.289     0.34        1.36           1002.360    690.360     569.840   
524288     524288          2097152           1000      1082.583    0.48        1.94           1130.840    1075.660    1096.780  
1048576    1048576         4194304           1000      2182.528    0.48        1.92           2207.880    2165.020    2164.280  

