the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          3               8                 1000      0.258       0.01        0.03           0.560       0.200       2.340     
2          6               16                1000      0.266       0.02        0.06           0.480       0.220       0.700     
4          12              32                1000      0.274       0.04        0.12           7.020       0.200       0.820     
8          24              64                1000      0.268       0.09        0.24           0.420       0.200       0.440     
16         48              128               1000      0.276       0.17        0.46           0.600       0.200       0.880     
32         96              256               1000      0.293       0.33        0.87           0.740       0.260       1.120     
64         192             512               1000      0.336       0.57        1.53           0.600       0.300       0.720     
128        384             1024              1000      0.413       0.93        2.48           0.720       0.340       1.100     
256        768             2048              1000      0.597       1.29        3.43           0.920       0.540       1.220     
512        1536            4096              1000      0.845       1.82        4.85           1.140       0.780       1.340     
1024       3072            8192              1000      1.585       1.94        5.17           1.960       1.500       2.680     
2048       6144            16384             1000      2.881       2.13        5.69           11.260      2.760       5.080     
4096       12288           32768             1000      4.943       2.49        6.63           6.180       4.840       12.840    
8192       24576           65536             1000      9.444       2.60        6.94           19.440      9.300       26.980    
16384      49152           131072            1000      18.617      2.64        7.04           26.820      18.320      48.980    
32768      98304           262144            1000      37.016      2.66        7.08           61.980      36.380      105.320   
65536      196608          524288            1000      74.597      2.64        7.03           194.800     72.620      210.480   
131072     393216          1048576           1000      397.291     0.99        2.64           465.000     377.140     305.900   
262144     786432          2097152           1000      557.608     1.41        3.76           599.480     547.880     521.880   
524288     1572864         4194304           1000      1034.277    1.52        4.06           1491.000    1013.800    1002.380  
1048576    3145728         8388608           1000      1964.292    1.60        4.27           2727.060    1934.040    1945.340  

