the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.098       0.01        0.16           0.220       0.060       0.080     
2          2               32                1000      0.101       0.02        0.32           0.500       0.060       0.120     
4          4               64                1000      0.115       0.03        0.56           0.240       0.060       0.300     
8          8               128               1000      0.120       0.07        1.06           0.260       0.060       0.280     
16         16              256               1000      0.127       0.13        2.02           0.400       0.060       0.280     
32         32              512               1000      0.130       0.25        3.93           0.260       0.080       0.340     
64         64              1024              1000      0.148       0.43        6.94           0.600       0.140       0.400     
128        128             2048              1000      0.194       0.66        10.54          0.340       0.180       0.280     
256        256             4096              1000      0.292       0.88        14.04          0.440       0.280       0.480     
512        512             8192              1000      0.501       1.02        16.34          0.800       0.480       0.620     
1024       1024            16384             1000      0.911       1.12        17.99          1.120       0.880       1.200     
2048       2048            32768             1000      1.808       1.13        18.12          2.300       1.760       2.140     
4096       4096            65536             1000      3.514       1.17        18.65          10.460      3.420       4.620     
8192       8192            131072            1000      6.825       1.20        19.20          13.720      6.720       8.820     
16384      16384           262144            1000      13.326      1.23        19.67          19.540      13.240      17.080    
32768      32768           524288            1000      26.574      1.23        19.73          40.060      26.280      41.300    
65536      65536           1048576           1000      54.999      1.19        19.07          98.320      52.780      79.000    
131072     131072          2097152           1000      232.378     0.56        9.02           253.940     200.980     191.480   
262144     262144          4194304           1000      486.401     0.54        8.62           525.620     474.280     456.860   
524288     524288          8388608           1000      937.150     0.56        8.95           1115.600    916.440     913.120   
1048576    1048576         16777216          1000      2582.335    0.41        6.50           3098.560    2540.460    2578.920  

