the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.568       0.01        0.04           0.840       0.440       6767.120  
4          24              96                1000      0.608       0.04        0.16           1.120       0.500       2.340     
16         96              384               1000      0.730       0.13        0.53           7.540       0.600       1.580     
64         384             1536              1000      1.027       0.37        1.50           14.840      0.880       2.560     
256        1536            6144              1000      1.676       0.92        3.67           10.020      1.540       2.960     
1024       6144            24576             1000      3.616       1.70        6.80           17.560      3.420       6.020     
4096       24576           98304             1000      11.689      2.10        8.41           93.180      11.260      19.860    
16384      98304           393216            1000      85.108      1.16        4.62           112.380     83.960      127.100   
65536      393216          1572864           1000      448.664     0.88        3.51           531.880     434.740     513.000   
262144     1572864         6291456           1000      4091.188    0.38        1.54           4356.040    4031.020    4003.180  
1048576    6291456         25165824          1000      46473.430   0.14        0.54           47144.260   46305.280   46130.400 

