the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.159       0.04        0.15           0.580       0.100       0.160     
2          12              48                1000      0.193       0.06        0.25           0.380       0.140       0.420     
4          24              96                1000      0.273       0.09        0.35           6.900       0.220       0.260     
8          48              192               1000      0.341       0.14        0.56           0.500       0.280       0.680     
16         96              384               1000      0.505       0.19        0.76           0.780       0.440       0.740     
32         192             768               1000      0.825       0.23        0.93           1.280       0.760       1.260     
64         384             1536              1000      1.421       0.27        1.08           1.620       1.360       1.700     
128        768             3072              1000      2.664       0.29        1.15           2.920       2.580       2.760     
256        1536            6144              1000      5.262       0.29        1.17           5.720       5.180       5.720     
512        3072            12288             1000      10.234      0.30        1.20           25.560      9.880       11.120    
1024       6144            24576             1000      20.621      0.30        1.19           32.860      19.900      22.440    
2048       12288           49152             1000      41.411      0.30        1.19           85.040      39.860      42.820    
4096       24576           98304             1000      85.430      0.29        1.15           113.640     84.240      86.980    
8192       49152           196608            1000      168.578     0.29        1.17           205.400     162.160     179.700   
16384      98304           393216            1000      332.905     0.30        1.18           438.440     319.240     361.960   
32768      196608          786432            1000      749.267     0.26        1.05           908.980     683.120     665.980   
65536      393216          1572864           1000      1333.711    0.29        1.18           1362.040    1294.780    1326.340  
131072     786432          3145728           1000      2661.791    0.30        1.18           2695.100    2575.420    2704.420  
262144     1572864         6291456           1000      5321.130    0.30        1.18           5381.940    5159.540    5336.400  
524288     3145728         12582912          1000      10516.255   0.30        1.20           10732.780   10265.700   10408.180 
1048576    6291456         25165824          1000      22299.182   0.28        1.13           22723.400   21837.880   22297.000 

