the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               20                1000      0.143       0.01        0.14           0.440       0.100       0.260     
2          4               40                1000      0.157       0.03        0.26           0.360       0.120       0.380     
4          8               80                1000      0.211       0.04        0.38           0.400       0.160       0.300     
8          16              160               1000      0.274       0.06        0.58           0.640       0.220       0.520     
16         32              320               1000      0.385       0.08        0.83           6.120       0.300       0.440     
32         64              640               1000      0.551       0.12        1.16           0.780       0.480       0.660     
64         128             1280              1000      0.955       0.13        1.34           1.440       0.900       1.200     
128        256             2560              1000      1.711       0.15        1.50           2.120       1.640       1.760     
256        512             5120              1000      3.268       0.16        1.57           9.580       3.200       3.480     
512        1024            10240             1000      6.307       0.16        1.62           52.980      6.180       6.540     
1024       2048            20480             1000      12.602      0.16        1.63           49.960      12.260      12.920    
2048       4096            40960             1000      25.346      0.16        1.62           98.660      25.080      25.900    
4096       8192            81920             1000      50.216      0.16        1.63           112.360     49.740      52.660    
8192       16384           163840            1000      100.607     0.16        1.63           138.800     99.900      106.640   
16384      32768           327680            1000      201.240     0.16        1.63           274.480     200.040     225.940   
32768      65536           655360            1000      418.883     0.16        1.56           569.140     408.760     412.560   
65536      131072          1310720           1000      834.799     0.16        1.57           880.740     810.920     819.320   
131072     262144          2621440           1000      1647.245    0.16        1.59           1752.080    1632.360    1644.180  
262144     524288          5242880           1000      3318.730    0.16        1.58           3507.820    3294.920    3310.660  
524288     1048576         10485760          1000      7112.713    0.15        1.47           7271.260    7078.260    7097.800  
1048576    2097152         20971520          1000      14267.100   0.15        1.47           14566.620   14155.280   14316.180 

