the current thread cpu affinity is 0xffffffffffffffff, policy is 0, priority is 0
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.172       0.01        0.05           0.280       0.120       0.220     
2          2               16                1000      0.172       0.01        0.09           0.580       0.120       0.260     
4          4               32                1000      0.215       0.02        0.15           0.480       0.160       0.780     
8          8               64                1000      0.275       0.03        0.23           0.740       0.240       0.680     
16         16              128               1000      0.399       0.04        0.32           0.540       0.360       0.780     
32         32              256               1000      0.625       0.05        0.41           0.760       0.560       0.800     
64         64              512               1000      1.129       0.06        0.45           1.500       1.060       1.280     
128        128             1024              1000      2.073       0.06        0.49           8.760       2.020       2.420     
256        256             2048              1000      4.031       0.06        0.51           13.880      3.960       4.400     
512        512             4096              1000      8.019       0.06        0.51           265.800     7.700       8.200     
1024       1024            8192              1000      15.497      0.07        0.53           125.200     15.260      16.380    
2048       2048            16384             1000      31.121      0.07        0.53           109.100     30.840      31.960    
4096       4096            32768             1000      62.494      0.07        0.52           108.820     62.120      64.200    
8192       8192            65536             1000      124.999     0.07        0.52           154.980     124.440     127.420   
16384      16384           131072            1000      249.433     0.07        0.53           275.140     248.700     253.320   
32768      32768           262144            1000      498.646     0.07        0.53           543.460     497.260     502.600   
65536      65536           524288            1000      1000.207    0.07        0.52           1290.740    994.580     1003.860  
131072     131072          1048576           1000      2189.806    0.06        0.48           2303.400    2000.000    2221.920  
262144     262144          2097152           1000      4013.134    0.07        0.52           4067.820    4001.580    4433.900  
524288     524288          4194304           1000      8273.561    0.06        0.51           8406.040    8226.900    8231.600  
1048576    1048576         8388608           1000      16652.221   0.06        0.50           17449.820   16469.240   17485.240 

