the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.135       0.01        0.03           0.520       0.080       0.160     
2          2               8                 1000      0.144       0.01        0.06           0.280       0.120       0.180     
4          4               16                1000      0.175       0.02        0.09           0.320       0.120       0.540     
8          8               32                1000      0.216       0.04        0.15           0.340       0.160       0.380     
16         16              64                1000      0.300       0.05        0.21           0.660       0.240       0.360     
32         32              128               1000      0.459       0.07        0.28           0.640       0.400       0.640     
64         64              256               1000      0.791       0.08        0.32           0.980       0.740       0.820     
128        128             512               1000      1.429       0.09        0.36           1.580       1.360       1.720     
256        256             1024              1000      2.991       0.09        0.34           269.380     2.660       2.740     
512        512             2048              1000      5.493       0.09        0.37           211.940     5.220       5.280     
1024       1024            4096              1000      10.403      0.10        0.39           18.900      10.340      10.420    
2048       2048            8192              1000      20.737      0.10        0.40           104.600     20.580      20.640    
4096       4096            16384             1000      41.194      0.10        0.40           49.140      41.100      41.380    
8192       8192            32768             1000      82.459      0.10        0.40           171.900     82.080      82.120    
16384      16384           65536             1000      164.638     0.10        0.40           223.720     163.980     164.320   
32768      32768           131072            1000      328.722     0.10        0.40           355.760     327.840     328.100   
65536      65536           262144            1000      656.760     0.10        0.40           677.080     655.500     685.620   
131072     131072          524288            1000      1315.189    0.10        0.40           1351.800    1310.880    1329.440  
262144     262144          1048576           1000      2630.964    0.10        0.40           2674.220    2621.780    2639.880  
524288     524288          2097152           1000      5260.708    0.10        0.40           5281.020    5253.480    5258.100  
1048576    1048576         4194304           1000      10521.412   0.10        0.40           10555.720   10508.680   10527.940 

