the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.181       0.03        0.13           0.640       0.100       0.140     
2          12              48                1000      0.215       0.06        0.22           0.380       0.140       0.200     
4          24              96                1000      0.246       0.10        0.39           0.560       0.180       0.260     
8          48              192               1000      0.304       0.16        0.63           0.460       0.240       0.380     
16         96              384               1000      0.432       0.22        0.89           0.840       0.340       0.400     
32         192             768               1000      0.688       0.28        1.12           0.840       0.620       0.660     
64         384             1536              1000      1.207       0.32        1.27           1.380       1.040       1.240     
128        768             3072              1000      2.135       0.36        1.44           2.520       1.940       2.100     
256        1536            6144              1000      4.118       0.37        1.49           4.260       3.840       4.380     
512        3072            12288             1000      7.550       0.41        1.63           14.440      7.300       8.120     
1024       6144            24576             1000      14.809      0.41        1.66           21.340      14.540      15.860    
2048       12288           49152             1000      31.170      0.39        1.58           37.820      30.920      31.480    
4096       24576           98304             1000      62.120      0.40        1.58           69.020      61.820      73.560    
8192       49152           196608            1000      126.084     0.39        1.56           134.800     125.680     128.520   
16384      98304           393216            1000      251.938     0.39        1.56           269.980     251.180     254.760   
32768      196608          786432            1000      504.711     0.39        1.56           576.020     502.520     501.940   
65536      393216          1572864           1000      1132.438    0.35        1.39           1177.300    1112.020    1006.060  
131072     786432          3145728           1000      2014.949    0.39        1.56           2038.420    2005.000    2030.820  
262144     1572864         6291456           1000      4028.402    0.39        1.56           4044.920    4019.100    4022.980  
524288     3145728         12582912          1000      8052.161    0.39        1.56           8951.120    8040.960    8057.320  
1048576    6291456         25165824          1000      16087.616   0.39        1.56           16188.560   16067.420   16105.900 

