the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.166       0.01        0.07           0.320       0.080       0.140     
2          2               24                1000      0.178       0.01        0.13           0.360       0.100       0.180     
4          4               48                1000      0.213       0.02        0.22           8.800       0.140       0.240     
8          8               96                1000      0.259       0.03        0.37           0.420       0.160       0.460     
16         16              192               1000      0.294       0.05        0.65           0.420       0.200       0.360     
32         32              384               1000      0.396       0.08        0.97           0.700       0.320       0.680     
64         64              768               1000      0.690       0.09        1.11           72.520      0.520       1.120     
128        128             1536              1000      0.997       0.13        1.54           1.540       0.900       2.060     
256        256             3072              1000      1.823       0.14        1.69           3.140       1.720       4.260     
512        512             6144              1000      3.866       0.13        1.59           145.580     3.340       8.440     
1024       1024            12288             1000      9.057       0.11        1.36           272.840     7.620       16.240    
2048       2048            24576             1000      24.361      0.08        1.01           33.440      21.920      32.380    
4096       4096            49152             1000      59.563      0.07        0.83           109.300     53.300      67.200    
8192       8192            98304             1000      128.133     0.06        0.77           170.160     119.160     131.760   
16384      16384           196608            1000      244.710     0.07        0.80           296.500     228.200     275.520   
32768      32768           393216            1000      535.160     0.06        0.73           655.900     525.600     538.780   
65536      65536           786432            1000      1214.961    0.05        0.65           1298.680    1087.260    1081.320  
131072     131072          1572864           1000      2138.044    0.06        0.74           2175.700    2122.500    2133.640  
262144     262144          3145728           1000      4276.907    0.06        0.74           4306.020    4261.820    4274.080  
524288     524288          6291456           1000      8557.151    0.06        0.74           8593.520    8537.740    8559.260  
1048576    1048576         12582912          1000      17111.806   0.06        0.74           17181.760   17078.900   17112.520 

