the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.169       0.01        0.07           0.340       0.100       0.200     
2          2               24                1000      0.186       0.01        0.13           0.540       0.100       0.160     
4          4               48                1000      0.220       0.02        0.22           0.420       0.140       0.340     
8          8               96                1000      0.259       0.03        0.37           0.400       0.200       0.460     
16         16              192               1000      0.321       0.05        0.60           0.500       0.260       0.460     
32         32              384               1000      0.449       0.07        0.86           0.600       0.360       0.860     
64         64              768               1000      0.690       0.09        1.11           0.920       0.620       1.180     
128        128             1536              1000      1.405       0.09        1.09           192.660     1.120       2.200     
256        256             3072              1000      2.272       0.11        1.35           9.920       2.140       4.360     
512        512             6144              1000      4.460       0.11        1.38           160.220     4.120       8.240     
1024       1024            12288             1000      9.868       0.10        1.25           137.480     8.580       17.720    
2048       2048            24576             1000      28.828      0.07        0.85           82.260      24.640      36.360    
4096       4096            49152             1000      65.384      0.06        0.75           87.640      56.960      75.000    
8192       8192            98304             1000      138.947     0.06        0.71           171.640     123.420     148.480   
16384      16384           196608            1000      292.229     0.06        0.67           344.580     286.300     309.800   
32768      32768           393216            1000      625.472     0.05        0.63           768.840     617.060     675.880   
65536      65536           786432            1000      1378.258    0.05        0.57           1730.800    1342.940    1436.920  
131072     131072          1572864           1000      2920.498    0.04        0.54           3509.480    2756.600    2817.780  
262144     262144          3145728           1000      6618.317    0.04        0.48           9059.540    5672.620    5914.300  
524288     524288          6291456           1000      11902.422   0.04        0.53           14112.560   10944.920   12052.860 
1048576    1048576         12582912          1000      24882.019   0.04        0.51           32338.240   22331.660   22940.440 

