the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          3               4                 1000      0.311       0.01        0.01           0.820       0.260       0.740     
2          6               8                 1000      0.312       0.02        0.03           0.580       0.240       1.040     
4          12              16                1000      0.304       0.04        0.05           0.540       0.240       1.340     
8          24              32                1000      0.307       0.08        0.10           1.120       0.260       1.020     
16         48              64                1000      0.317       0.15        0.20           1.000       0.240       1.020     
32         96              128               1000      0.322       0.30        0.40           0.760       0.240       1.980     
64         192             256               1000      0.324       0.59        0.79           7.560       0.280       1.580     
128        384             512               1000      0.326       1.18        1.57           0.720       0.260       0.800     
256        768             1024              1000      0.369       2.08        2.78           0.720       0.280       1.740     
512        1536            2048              1000      0.462       3.33        4.43           0.720       0.380       2.340     
1024       3072            4096              1000      0.656       4.68        6.25           1.320       0.600       2.340     
2048       6144            8192              1000      1.018       6.04        8.05           1.340       0.940       2.640     
4096       12288           16384             1000      1.713       7.17        9.56           3.400       1.620       4.160     
8192       24576           32768             1000      2.908       8.45        11.27          6.980       2.840       8.340     
16384      49152           65536             1000      5.439       9.04        12.05          13.740      5.340       16.340    
32768      98304           131072            1000      10.412      9.44        12.59          25.100      10.260      33.300    
65536      196608          262144            1000      21.330      9.22        12.29          90.780      20.240      75.200    
131072     393216          524288            1000      41.581      9.46        12.61          150.340     40.120      140.780   
262144     786432          1048576           1000      300.628     2.62        3.49           403.500     279.480     249.260   
524288     1572864         2097152           1000      502.907     3.13        4.17           566.220     485.260     468.740   
1048576    3145728         4194304           1000      949.510     3.31        4.42           1228.660    932.900     920.620   

