the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.120       0.05        0.20           0.336       0.110       0.247     
2          12              48                1000      0.136       0.09        0.35           0.361       0.124       0.129     
4          24              96                1000      0.165       0.15        0.58           0.383       0.153       0.178     
8          48              192               1000      0.232       0.21        0.83           0.551       0.222       0.275     
16         96              384               1000      0.356       0.27        1.08           0.400       0.345       0.597     
32         192             768               1000      0.610       0.31        1.26           0.671       0.590       0.822     
64         384             1536              1000      1.104       0.35        1.39           1.339       1.082       1.151     
128        768             3072              1000      2.109       0.36        1.46           2.321       2.076       2.467     
256        1536            6144              1000      4.126       0.37        1.49           4.386       4.052       4.359     
512        3072            12288             1000      8.167       0.38        1.50           8.543       8.084       8.284     
1024       6144            24576             1000      16.436      0.37        1.50           23.361      16.235      16.578    
2048       12288           49152             1000      33.210      0.37        1.48           38.701      32.699      33.006    
4096       24576           98304             1000      66.220      0.37        1.48           71.864      65.457      67.078    
8192       49152           196608            1000      134.501     0.37        1.46           141.142     132.369     137.566   
16384      98304           393216            1000      267.128     0.37        1.47           273.260     264.992     265.758   
32768      196608          786432            1000      532.270     0.37        1.48           539.715     526.439     532.129   
65536      393216          1572864           1000      1063.747    0.37        1.48           1072.041    1056.005    1066.842  
131072     786432          3145728           1000      2137.240    0.37        1.47           2151.301    2114.373    2159.115  
262144     1572864         6291456           1000      4366.221    0.36        1.44           4399.213    4334.654    4373.245  
524288     3145728         12582912          1000      8763.998    0.36        1.44           8818.858    8686.729    8758.862  
1048576    6291456         25165824          1000      17787.311   0.35        1.41           17840.737   17684.737   17772.488 

