the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               16                1000      0.100       0.02        0.16           0.151       0.098       0.241     
2          4               32                1000      0.108       0.04        0.30           0.141       0.107       0.196     
4          8               64                1000      0.123       0.06        0.52           0.361       0.120       0.224     
8          16              128               1000      0.157       0.10        0.82           0.398       0.154       0.171     
16         32              256               1000      0.223       0.14        1.15           0.449       0.218       0.241     
32         64              512               1000      0.356       0.18        1.44           0.598       0.349       0.466     
64         128             1024              1000      0.620       0.21        1.65           0.663       0.609       0.709     
128        256             2048              1000      1.190       0.22        1.72           1.460       1.143       1.262     
256        512             4096              1000      2.302       0.22        1.78           2.485       2.198       2.389     
512        1024            8192              1000      4.555       0.22        1.80           4.779       4.363       4.428     
1024       2048            16384             1000      9.029       0.23        1.81           9.455       8.654       9.284     
2048       4096            32768             1000      18.097      0.23        1.81           22.571      17.423      17.697    
4096       8192            65536             1000      35.972      0.23        1.82           42.023      33.844      35.402    
8192       16384           131072            1000      71.993      0.23        1.82           78.490      68.965      72.555    
16384      32768           262144            1000      143.499     0.23        1.83           161.481     138.409     139.084   
32768      65536           524288            1000      289.151     0.23        1.81           318.370     275.218     286.505   
65536      131072          1048576           1000      574.978     0.23        1.82           588.546     553.149     574.481   
131072     262144          2097152           1000      1150.933    0.23        1.82           1165.710    1120.834    1157.770  
262144     524288          4194304           1000      2304.264    0.23        1.82           2336.735    2270.488    2294.482  
524288     1048576         8388608           1000      4623.590    0.23        1.81           4701.804    4442.750    4656.777  
1048576    2097152         16777216          1000      9557.476    0.22        1.76           9586.577    9525.399    9576.002  

