the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               24                1000      0.202       0.01        0.12           0.443       0.189       1.171     
2          4               48                1000      0.201       0.02        0.24           0.457       0.188       0.697     
4          8               96                1000      0.199       0.04        0.48           0.302       0.187       0.704     
8          16              192               1000      0.212       0.08        0.90           0.496       0.205       0.705     
16         32              384               1000      0.218       0.15        1.76           0.544       0.211       1.474     
32         64              768               1000      0.223       0.29        3.44           0.516       0.216       1.246     
64         128             1536              1000      0.220       0.58        6.99           0.474       0.211       0.796     
128        256             3072              1000      0.248       1.03        12.39          0.535       0.232       0.924     
256        512             6144              1000      0.319       1.61        19.29          0.613       0.297       1.516     
512        1024            12288             1000      0.396       2.58        31.00          0.678       0.374       1.242     
1024       2048            24576             1000      0.693       2.96        35.48          1.002       0.649       1.603     
2048       4096            49152             1000      1.140       3.59        43.11          1.581       1.070       2.564     
4096       8192            98304             1000      2.155       3.80        45.61          2.780       1.964       3.818     
8192       16384           196608            1000      4.928       3.32        39.90          5.686       4.404       6.853     
16384      32768           393216            1000      9.774       3.35        40.23          10.615      9.057       11.191    
32768      65536           786432            1000      19.575      3.35        40.18          25.272      18.464      22.088    
65536      131072          1572864           1000      41.977      3.12        37.47          48.722      39.970      51.649    
131072     262144          3145728           1000      89.856      2.92        35.01          97.978      78.418      102.213   
262144     524288          6291456           1000      239.645     2.19        26.25          249.167     235.222     242.656   
524288     1048576         12582912          1000      506.383     2.07        24.85          517.335     494.469     505.927   
1048576    2097152         25165824          1000      2019.973    1.04        12.46          2038.475    2005.254    2027.131  

