the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.095       0.06        0.25           0.310       0.092       0.199     
2          12              48                1000      0.107       0.11        0.45           0.313       0.103       0.258     
4          24              96                1000      0.121       0.20        0.79           0.239       0.116       0.279     
8          48              192               1000      0.164       0.29        1.17           0.405       0.160       0.394     
16         96              384               1000      0.247       0.39        1.55           0.462       0.237       0.611     
32         192             768               1000      0.416       0.46        1.85           0.713       0.405       1.064     
64         384             1536              1000      0.751       0.51        2.04           1.249       0.733       1.911     
128        768             3072              1000      1.484       0.52        2.07           2.500       1.465       3.644     
256        1536            6144              1000      3.371       0.46        1.82           10.587      3.296       7.576     
512        3072            12288             1000      7.387       0.42        1.66           14.928      7.222       14.597    
1024       6144            24576             1000      18.479      0.33        1.33           27.406      17.925      29.983    
2048       12288           49152             1000      48.746      0.25        1.01           57.005      47.696      60.403    
4096       24576           98304             1000      109.104     0.23        0.90           118.678     107.299     118.461   
8192       49152           196608            1000      227.549     0.22        0.86           236.514     223.878     237.682   
16384      98304           393216            1000      467.269     0.21        0.84           478.376     461.169     469.217   
32768      196608          786432            1000      934.819     0.21        0.84           948.968     924.722     951.164   
65536      393216          1572864           1000      1886.082    0.21        0.83           1907.823    1876.163    1903.292  
131072     786432          3145728           1000      3786.233    0.21        0.83           3802.915    3771.468    3808.955  
262144     1572864         6291456           1000      7676.766    0.20        0.82           7699.997    7590.559    7634.970  
524288     3145728         12582912          1000      15414.374   0.20        0.82           15946.305   15232.105   15261.023 
1048576    6291456         25165824          1000      30650.353   0.21        0.82           31772.817   30534.930   30579.547 

