the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.171       0.04        0.14           0.267       0.158       2.829     
2          12              48                1000      0.331       0.04        0.15           0.673       0.287       1.761     
4          24              96                1000      0.348       0.07        0.28           0.706       0.300       1.808     
8          48              192               1000      0.353       0.14        0.54           0.820       0.300       1.665     
16         96              384               1000      0.393       0.24        0.98           0.672       0.321       1.836     
32         192             768               1000      0.489       0.39        1.57           1.433       0.392       2.153     
64         384             1536              1000      0.669       0.57        2.30           1.070       0.573       4.924     
128        768             3072              1000      0.890       0.86        3.45           3.396       0.768       3.866     
256        1536            6144              1000      1.432       1.07        4.29           3.543       1.276       5.169     
512        3072            12288             1000      2.517       1.22        4.88           4.536       2.380       6.581     
1024       6144            24576             1000      5.337       1.15        4.60           7.913       4.952       13.586    
2048       12288           49152             1000      10.458      1.18        4.70           12.836      10.066      17.030    
4096       24576           98304             1000      21.823      1.13        4.50           68.468      21.089      27.988    
8192       49152           196608            1000      48.990      1.00        4.01           143.588     47.438      58.676    
16384      98304           393216            1000      121.354     0.81        3.24           166.529     118.940     136.089   
32768      196608          786432            1000      301.401     0.65        2.61           330.533     284.986     338.055   
65536      393216          1572864           1000      617.466     0.64        2.55           636.674     593.644     610.409   
131072     786432          3145728           1000      1374.277    0.57        2.29           1550.318    1356.741    1492.565  
262144     1572864         6291456           1000      3813.513    0.41        1.65           3865.511    3790.176    3891.366  
524288     3145728         12582912          1000      8821.872    0.36        1.43           9077.654    8564.805    9093.059  
1048576    6291456         25165824          1000      21062.255   0.30        1.19           21610.550   20497.912   20686.005 

